"",BBFN1.M.DE.N.1.A.DZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Algeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:17,
1975-12,0.050,
1976-01,0.048,
1976-02,0.043,
1976-03,0.048,
1976-04,0.043,
1976-05,0.053,
1976-06,0.051,
1976-07,0.056,
1976-08,0.070,
1976-09,0.079,
1976-10,0.080,
1976-11,0.077,
1976-12,0.080,
1977-01,0.083,
1977-02,0.080,
1977-03,0.082,
1977-04,0.084,
1977-05,0.083,
1977-06,0.083,
1977-07,0.083,
1977-08,0.080,
1977-09,0.086,
1977-10,0.090,
1977-11,0.084,
1977-12,0.086,
1978-01,0.091,
1978-02,0.092,
1978-03,0.091,
1978-04,0.093,
1978-05,0.090,
1978-06,0.092,
1978-07,0.096,
1978-08,0.099,
1978-09,0.096,
1978-10,0.096,
1978-11,0.095,
1978-12,0.100,
1979-01,0.101,
1979-02,0.062,
1979-03,0.063,
1979-04,0.039,
1979-05,0.059,
1979-06,0.062,
1979-07,0.061,
1979-08,0.061,
1979-09,0.060,
1979-10,0.060,
1979-11,0.047,
1979-12,0.049,
1980-01,0.048,
1980-02,0.049,
1980-03,0.034,
1980-04,0.036,
1980-05,0.035,
1980-06,0.037,
1980-07,0.038,
1980-08,0.037,
1980-09,0.037,
1980-10,0.037,
1980-11,0.036,
1980-12,0.034,
1981-01,0.031,
1981-02,0.030,
1981-03,0.030,
1981-04,0.029,
1981-05,0.028,
1981-06,0.027,
1981-07,0.027,
1981-08,0.030,
1981-09,0.026,
1981-10,0.026,
1981-11,0.026,
1981-12,0.026,
1982-01,0.028,
1982-02,0.031,
1982-03,0.026,
1982-04,0.024,
1982-05,0.020,
1982-06,0.021,
1982-07,0.021,
1982-08,0.026,
1982-09,0.028,
1982-10,0.027,
1982-11,0.028,
1982-12,0.029,
1983-01,0.029,
1983-02,0.028,
1983-03,0.027,
1983-04,0.021,
1983-05,0.043,
1983-06,0.046,
1983-07,0.047,
1983-08,0.049,
1983-09,0.051,
1983-10,0.051,
1983-11,0.053,
1983-12,0.052,
1984-01,0.051,
1984-02,0.050,
1984-03,0.054,
1984-04,0.057,
1984-05,0.054,
1984-06,0.052,
1984-07,0.054,
1984-08,0.055,
1984-09,0.054,
1984-10,0.056,
1984-11,0.056,
1984-12,0.058,
1985-01,0.060,
1985-02,0.058,
1985-03,0.056,
1985-04,0.056,
1985-05,0.058,
1985-06,0.057,
1985-07,0.059,
1985-08,0.057,
1985-09,0.059,
1985-10,0.053,
1985-11,0.052,
1985-12,0.026,
1986-01,0.026,
1986-02,0.025,
1986-03,0.024,
1986-04,0.025,
1986-05,0.026,
1986-06,0.023,
1986-07,0.024,
1986-08,0.023,
1986-09,0.022,
1986-10,0.020,
1986-11,0.020,
1986-12,0.020,
1987-01,0.020,
1987-02,0.019,
1987-03,0.019,
1987-04,0.019,
1987-05,0.018,
1987-06,0.018,
1987-07,0.018,
1987-08,0.018,
1987-09,0.017,
1987-10,0.017,
1987-11,0.017,
1987-12,0.017,
1988-01,0.016,
1988-02,0.018,
1988-03,0.018,
1988-04,0.018,
1988-05,0.017,
1988-06,0.017,
1988-07,0.017,
1988-08,0.017,
1988-09,0.017,
1988-10,0.016,
1988-11,0.015,
1988-12,0.015,
1989-01,0.035,
1989-02,0.014,
1989-03,0.014,
1989-04,0.015,
1989-05,0.015,
1989-06,0.015,
1989-07,0.015,
1989-08,0.014,
1989-09,0.014,
1989-10,0.014,
1989-11,0.014,
1989-12,0.014,
1990-01,0.014,
1990-02,0.014,
1990-03,0.014,
1990-04,0.014,
1990-05,0.015,
1990-06,0.015,
1990-07,0.015,
1990-08,0.014,
1990-09,0.014,
1990-10,0.013,
1990-11,0.013,
1990-12,0.013,
1991-01,0.013,
1991-02,0.012,
1991-03,0.012,
1991-04,0.012,
1991-05,0.012,
1991-06,0.012,
1991-07,0.012,
1991-08,0.012,
1991-09,0.012,
1991-10,0.012,
1991-11,0.012,
1991-12,0.012,
1992-01,0.012,
1992-02,0.012,
1992-03,0.012,
1992-04,0.002,
1992-05,0.007,
1992-06,0.007,
1992-07,0.007,
1992-08,0.007,
1992-09,0.007,
1992-10,.,No value available
1992-11,.,No value available
1992-12,0.007,
1993-01,0.003,
1993-02,0.003,
1993-03,0.003,
1993-04,0.003,
1993-05,0.004,
1993-06,0.003,
1993-07,0.003,
1993-08,.,No value available
1993-09,0.003,
1993-10,.,No value available
1993-11,.,No value available
1993-12,.,No value available
1994-01,.,No value available
1994-02,.,No value available
1994-03,.,No value available
1994-04,0.003,
1994-05,.,No value available
1994-06,0.003,
1994-07,0.008,
1994-08,0.003,
1994-09,0.004,
1994-10,0.003,
1994-11,.,No value available
1994-12,0.003,
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,0.005,
1995-07,0.004,
1995-08,0.005,
1995-09,0.005,
1995-10,0.007,
1995-11,0.006,
1995-12,0.007,
1996-01,0.008,
1996-02,0.007,
1996-03,0.008,
1996-04,0.008,
1996-05,0.014,
1996-06,0.010,
1996-07,0.012,
1996-08,0.009,
1996-09,0.009,
1996-10,0.009,
1996-11,0.009,
1996-12,0.009,
1997-01,0.010,
1997-02,0.011,
1997-03,0.010,
1997-04,0.009,
1997-05,0.010,
1997-06,0.008,
1997-07,0.008,
1997-08,0.009,
1997-09,0.011,
1997-10,0.014,
1997-11,0.014,
1997-12,0.009,
1998-01,0.009,
1998-02,0.011,
1998-03,0.010,
1998-04,0.007,
1998-05,0.010,
1998-06,0.011,
1998-07,0.010,
1998-08,0.009,
1998-09,0.011,
1998-10,0.006,
1998-11,0.005,
1998-12,0.006,
1999-01,0.006,
1999-02,0.007,
1999-03,0.005,
1999-04,0.006,
1999-05,0.006,
1999-06,0.005,
1999-07,0.004,
1999-08,0.005,
1999-09,0.007,
1999-10,0.007,
1999-11,0.006,
1999-12,0.005,
2000-01,0.007,
2000-02,0.007,
2000-03,0.008,
2000-04,0.008,
2000-05,0.009,
2000-06,0.009,
2000-07,0.009,
2000-08,0.011,
2000-09,0.010,
2000-10,0.010,
2000-11,0.010,
2000-12,0.013,
2001-01,0.011,
2001-02,0.013,
2001-03,0.014,
2001-04,0.013,
2001-05,0.013,
2001-06,0.011,
2001-07,0.011,
2001-08,0.009,
2001-09,0.010,
2001-10,0.008,
2001-11,0.009,
2001-12,0.011,
2002-01,0.009,
2002-02,0.009,
2002-03,0.010,
2002-04,0.011,
2002-05,0.012,
2002-06,0.012,
2002-07,0.011,
2002-08,0.011,
2002-09,0.013,
2002-10,0.013,
2002-11,0.012,
2002-12,0.009,
2003-01,0.009,
2003-02,0.017,
2003-03,0.008,
2003-04,0.008,
2003-05,0.010,
2003-06,0.008,
2003-07,0.008,
2003-08,0.008,
2003-09,0.007,
2003-10,0.008,
2003-11,0.009,
2003-12,.,No value available
2004-01,.,No value available
2004-02,.,No value available
2004-03,.,No value available
2004-04,.,No value available
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,.,No value available
2004-12,0.011,
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,0.013,
2005-08,0.016,
2005-09,.,No value available
2005-10,.,No value available
2005-11,.,No value available
2005-12,.,No value available
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,.,No value available
2006-07,.,No value available
2006-08,.,No value available
2006-09,0.018,
2006-10,0.018,
2006-11,0.017,
2006-12,0.019,
2007-01,0.011,
2007-02,0.011,
2007-03,0.009,
2007-04,0.012,
2007-05,0.010,
2007-06,0.012,
2007-07,0.013,
2007-08,0.013,
2007-09,0.014,
2007-10,0.012,
2007-11,0.013,
2007-12,0.012,
2008-01,0.022,
2008-02,0.024,
2008-03,0.020,
2008-04,0.015,
2008-05,0.031,
2008-06,0.033,
2008-07,0.022,
2008-08,0.023,
2008-09,0.022,
2008-10,0.024,
2008-11,0.038,
2008-12,0.029,
2009-01,0.035,
2009-02,0.028,
2009-03,0.029,
2009-04,0.029,
2009-05,0.034,
