"",BBK01.OEAE04P,BBK01.OEAE04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:04,
2002-01,1.604,
2002-04,1.626,
2002-07,1.627,
2002-10,1.798,
2003-01,1.844,
2003-04,1.860,
2003-07,1.880,
2003-10,1.836,
2004-01,1.825,
2004-04,1.877,
2004-07,1.924,
2004-10,1.945,
2005-01,1.909,
2005-04,1.916,
2005-07,1.903,
2005-10,1.840,
2006-01,1.850,
2006-04,1.836,
2006-07,1.832,
2006-10,1.836,
2007-01,1.802,
2007-04,1.787,
2007-07,1.732,
2007-10,1.652,
2008-01,1.634,
2008-04,1.645,
2008-07,1.650,
2008-10,1.666,
2009-01,1.060,
2009-04,1.254,
2009-07,1.256,
2009-10,1.327,
2010-01,1.288,
2010-04,1.333,
2010-07,1.332,
2010-10,1.334,
2011-01,1.449,
2011-04,1.447,
2011-07,1.500,
2011-10,1.487,
2012-01,1.486,
2012-04,1.533,
2012-07,1.567,
2012-10,1.574,
2013-01,1.603,
2013-04,1.622,
2013-07,1.616,
2013-10,1.606,
2014-01,1.600,
2014-04,1.569,
2014-07,1.585,
