"",BBK01.OEHK01S,BBK01.OEHK01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:27,
2002-01,0.500,
2002-04,0.502,
2002-07,0.520,
2002-10,0.556,
2003-01,0.530,
2003-04,0.527,
2003-07,0.554,
2003-10,0.589,
2004-01,0.560,
2004-04,0.589,
2004-07,0.613,
2004-10,0.636,
2005-01,0.599,
2005-04,0.607,
2005-07,0.629,
2005-10,0.644,
2006-01,0.612,
2006-04,0.614,
2006-07,0.638,
2006-10,0.674,
2007-01,0.640,
2007-04,0.643,
2007-07,0.666,
2007-10,0.689,
2008-01,0.654,
2008-04,0.663,
2008-07,0.692,
2008-10,0.733,
2009-01,0.710,
2009-04,0.734,
2009-07,0.772,
2009-10,0.819,
2010-01,0.781,
2010-04,0.802,
2010-07,0.834,
2010-10,0.861,
2011-01,0.812,
2011-04,0.833,
2011-07,0.869,
2011-10,0.901,
2012-01,0.859,
2012-04,0.872,
2012-07,0.920,
2012-10,0.940,
2013-01,0.912,
2013-04,0.933,
2013-07,1.004,
2013-10,1.022,
2014-01,1.011,
2014-04,1.023,
2014-07,1.076,
