"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.D.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:30,
1991-01,510.182,
1991-02,431.626,
1991-03,327.459,
1991-04,467.945,
1991-05,539.754,
1991-06,340.550,
1991-07,516.802,
1991-08,438.407,
1991-09,399.734,
1991-10,403.643,
1991-11,288.204,
1991-12,621.857,
1992-01,448.525,
1992-02,225.384,
1992-03,354.614,
1992-04,417.599,
1992-05,383.513,
1992-06,310.029,
1992-07,383.221,
1992-08,548.589,
1992-09,187.989,
1992-10,315.474,
1992-11,178.164,
1992-12,450.424,
1993-01,575.321,
1993-02,296.769,
1993-03,531.005,
1993-04,722.901,
1993-05,263.298,
1993-06,339.620,
1993-07,602.504,
1993-08,444.472,
1993-09,467.902,
1993-10,442.274,
1993-11,268.101,
1993-12,874.050,
1994-01,669.167,
1994-02,339.992,
1994-03,917.984,
1994-04,820.763,
1994-05,405.389,
1994-06,575.067,
1994-07,656.825,
1994-08,378.372,
1994-09,522.190,
1994-10,351.849,
1994-11,312.045,
1994-12,832.239,
1995-01,695.550,
1995-02,546.743,
1995-03,890.832,
1995-04,756.360,
1995-05,457.781,
1995-06,813.207,
1995-07,827.074,
1995-08,404.536,
1995-09,677.557,
1995-10,449.275,
1995-11,338.995,
1995-12,1219.202,
1996-01,914.191,
1996-02,782.135,
1996-03,1437.344,
1996-04,1127.087,
1996-05,768.583,
1996-06,963.125,
1996-07,1356.104,
1996-08,828.856,
1996-09,917.766,
1996-10,857.568,
1996-11,816.323,
1996-12,1739.782,
1997-01,1095.170,
1997-02,1059.985,
1997-03,1271.205,
1997-04,1198.454,
1997-05,919.331,
1997-06,1285.296,
1997-07,1074.227,
1997-08,937.252,
1997-09,893.630,
