"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:17,
1991-01,0.092,
1991-04,0.001,
1991-07,0.036,
1991-10,0.026,
1992-01,0.147,
1992-04,0.561,
1992-07,-0.005,
1992-10,0.281,
1993-01,-0.249,
1993-04,-0.090,
1993-07,-0.233,
1993-10,-0.032,
1994-01,0.135,
1994-04,0.081,
1994-07,0.081,
1994-10,0.209,
1995-01,-1.053,
1995-04,0.417,
1995-07,0.709,
1995-10,7.731,
1996-01,-337.099,
1996-04,70.416,
1996-07,-14.230,
1996-10,181.356,
1997-01,91.384,
1997-04,30.016,
1997-07,-136.721,
1997-10,67.623,
1998-01,-19.586,
1998-04,-11.120,
1998-07,-91.551,
1998-10,24.568,
1999-01,55.635,
1999-04,-11.510,
1999-07,12.200,
1999-10,90.012,
2000-01,149.010,
2000-04,112.594,
2000-07,235.247,
2000-10,22.453,
2001-01,121.606,
2001-04,-136.171,
2001-07,99.744,
2001-10,-9.715,
2002-01,31.296,
2002-04,25.545,
2002-07,105.684,
2002-10,-165.663,
2003-01,55.621,
2003-04,87.765,
2003-07,-174.926,
2003-10,28.661,
2004-01,38.031,
2004-04,216.578,
2004-07,-203.433,
2004-10,236.508,
2005-01,-145.518,
2005-04,84.637,
2005-07,18.317,
2005-10,282.850,
2006-01,7.304,
2006-04,50.159,
2006-07,-49.693,
2006-10,112.679,
2007-01,105.373,
2007-04,-6.928,
2007-07,-37.651,
2007-10,103.575,
2008-01,-85.771,
2008-04,-207.201,
2008-07,295.889,
2008-10,-87.241,
2009-01,-183.210,
2009-04,-2.009,
2009-07,-60.263,
2009-10,217.430,
2010-01,-49.206,
2010-04,244.146,
2010-07,32.434,
2010-10,852.850,
2011-01,180.308,
2011-04,28.055,
2011-07,81.089,
2011-10,-372.135,
2012-01,46.678,
2012-04,-199.224,
2012-07,87.444,
2012-10,17.419,
2013-01,71.100,
2013-04,-288.941,
2013-07,391.173,
2013-10,51.737,
2014-01,-304.649,Provisional value
2014-04,-190.506,Provisional value
2014-07,217.064,Provisional value
2014-10,221.545,Provisional value
