"",BBQFS.Q.DE.BANK.SEC_BOND_DIR.W1.GOVE,BBQFS.Q.DE.BANK.SEC_BOND_DIR.W1.GOVE_FLAGS
"","Securities held by banks in Germany - foreign government bonds, held directly (FSR 2014)",
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:38,
2002-01,114.61,
2002-04,118.58,
2002-07,123.77,
2002-10,113.74,
2003-01,110.87,
2003-04,110.60,
2003-07,109.80,
2003-10,113.78,
2004-01,131.74,
2004-04,133.16,
2004-07,132.99,
2004-10,135.31,
2005-01,154.89,
2005-04,160.37,
2005-07,153.17,
2005-10,155.65,
2006-01,158.96,
2006-04,154.69,
2006-07,150.27,
2006-10,148.91,
2007-01,153.97,
2007-04,152.95,
2007-07,141.03,
2007-10,136.87,
2008-01,142.41,
2008-04,141.39,
2008-07,135.60,
2008-10,128.85,
2009-01,128.66,
2009-04,128.06,
2009-07,127.41,
2009-10,130.70,
2010-01,135.61,
2010-04,132.01,
2010-07,132.05,
2010-10,127.71,
2011-01,126.32,
2011-04,124.32,
2011-07,120.14,
2011-10,116.95,
2012-01,115.69,
2012-04,116.62,
2012-07,115.31,
2012-10,117.08,
2013-01,115.42,
2013-04,118.99,
2013-07,119.21,
2013-10,119.56,
2014-01,124.36,
2014-04,125.02,
2014-07,131.49,
"",Methodology: As reported in financial statements,
