"",BBK01.OEHB13S,BBK01.OEHB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:14,
2002-01,1.976,
2002-04,1.981,
2002-07,1.952,
2002-10,1.920,
2003-01,1.896,
2003-04,1.903,
2003-07,1.884,
2003-10,1.872,
2004-01,1.839,
2004-04,1.846,
2004-07,1.819,
2004-10,1.811,
2005-01,1.782,
2005-04,1.763,
2005-07,1.752,
2005-10,1.732,
2006-01,1.704,
2006-04,1.691,
2006-07,1.678,
2006-10,1.671,
2007-01,1.649,
2007-04,1.643,
2007-07,1.640,
2007-10,1.639,
2008-01,1.641,
2008-04,1.636,
2008-07,1.621,
2008-10,1.610,
2009-01,1.615,
2009-04,1.619,
2009-07,1.609,
2009-10,1.602,
2010-01,1.597,
2010-04,1.612,
2010-07,1.628,
2010-10,1.637,
2011-01,1.643,
2011-04,1.658,
2011-07,1.666,
2011-10,1.684,
2012-01,1.693,
2012-04,1.703,
2012-07,1.712,
2012-10,1.721,
2013-01,1.741,
2013-04,1.755,
2013-07,1.760,
2013-10,1.767,
2014-01,1.769,
2014-04,1.772,
2014-07,1.779,
