"",BBFB1.Q.N.DE.CZ.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:47,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,512.583,
1993-04,632.860,
1993-07,584.604,
1993-10,705.939,
1994-01,655.667,
1994-04,753.895,
1994-07,758.527,
1994-10,894.221,
1995-01,883.894,
1995-04,950.073,
1995-07,930.205,
1995-10,1011.539,
1996-01,964.200,
1996-04,1034.276,
1996-07,1038.901,
1996-10,1116.769,
1997-01,1063.554,
1997-04,1192.847,
1997-07,1330.904,
1997-10,1449.614,
1998-01,1498.826,
1998-04,1536.396,
1998-07,1667.117,
1998-10,1725.811,
1999-01,1693.715,
1999-04,1870.270,
1999-07,1955.138,
1999-10,2216.855,
2000-01,2180.579,
2000-04,2463.645,
2000-07,2465.244,
2000-10,2666.749,
2001-01,2576.385,
2001-04,2698.431,
2001-07,2850.933,
2001-10,3130.046,
2002-01,3025.998,
2002-04,3198.971,
2002-07,3174.163,
2002-10,3386.799,
2003-01,3330.082,
2003-04,3501.043,
2003-07,3243.114,
2003-10,3851.649,
2004-01,3649.634,
2004-04,3430.100,
2004-07,3132.058,
2004-10,3499.764,
2005-01,3646.354,
2005-04,4035.353,
2005-07,3872.289,
2005-10,4074.104,
2006-01,4670.784,
2006-04,4941.886,
2006-07,4834.486,
2006-10,5293.977,
2007-01,5725.380,
2007-04,5994.127,
2007-07,5829.272,
2007-10,6177.615,
2008-01,6182.411,
2008-04,6650.644,
2008-07,6488.757,
2008-10,6192.351,
2009-01,5403.892,
2009-04,5655.485,
2009-07,5644.369,
2009-10,5908.998,
2010-01,6051.249,
2010-04,6606.900,
2010-07,6685.871,
2010-10,7363.561,
2011-01,7448.279,
2011-04,7867.398,
2011-07,7567.716,
2011-10,7854.999,
2012-01,7753.863,
2012-04,7733.692,
2012-07,7443.170,
2012-10,7631.740,
2013-01,7370.936,
2013-04,7719.311,
2013-07,7818.051,
2013-10,8285.053,
2014-01,8538.852,Provisional value
2014-04,8655.078,Provisional value
2014-07,8668.154,Provisional value
