"",BBK01.OEAD05L,BBK01.OEAD05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:52,
2002-01,2.615,
2002-04,2.540,
2002-07,2.139,
2002-10,2.108,
2003-01,2.188,
2003-04,2.266,
2003-07,2.184,
2003-10,2.070,
2004-01,1.954,
2004-04,2.042,
2004-07,1.777,
2004-10,1.885,
2005-01,1.825,
2005-04,1.880,
2005-07,1.908,
2005-10,1.789,
2006-01,1.931,
2006-04,2.295,
2006-07,2.209,
2006-10,2.090,
2007-01,2.188,
2007-04,2.275,
2007-07,2.098,
2007-10,2.181,
2008-01,2.558,
2008-04,2.792,
2008-07,2.429,
2008-10,2.774,
2009-01,2.791,
2009-04,2.796,
2009-07,2.461,
2009-10,2.208,
2010-01,2.156,
2010-04,2.352,
2010-07,2.345,
2010-10,2.414,
2011-01,2.526,
2011-04,2.481,
2011-07,2.406,
2011-10,2.472,
2012-01,2.421,
2012-04,2.211,
2012-07,2.316,
2012-10,2.609,
2013-01,2.362,
2013-04,2.298,
2013-07,2.347,
2013-10,2.226,
2014-01,2.227,
2014-04,2.178,
2014-07,2.115,
