"",BBK01.OEXL01J,BBK01.OEXL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:47,
2002-01,1.252,
2002-04,1.220,
2002-07,1.171,
2002-10,1.196,
2003-01,1.185,
2003-04,1.185,
2003-07,1.191,
2003-10,1.190,
2004-01,1.172,
2004-04,1.165,
2004-07,1.132,
2004-10,1.098,
2005-01,1.111,
2005-04,1.123,
2005-07,1.173,
2005-10,1.209,
2006-01,1.241,
2006-04,1.228,
2006-07,1.192,
2006-10,1.278,
2007-01,1.303,
2007-04,1.351,
2007-07,1.358,
2007-10,1.445,
2008-01,1.510,
2008-04,1.546,
2008-07,1.574,
2008-10,1.718,
2009-01,1.739,
2009-04,1.720,
2009-07,1.661,
2009-10,1.625,
2010-01,1.617,
2010-04,1.647,
2010-07,1.614,
2010-10,1.680,
2011-01,1.734,
2011-04,1.746,
2011-07,1.791,
2011-10,1.791,
2012-01,1.773,
2012-04,1.723,
2012-07,1.626,
2012-10,1.592,
2013-01,1.531,
2013-04,1.483,
2013-07,1.483,
2013-10,1.479,
2014-01,1.457,
2014-04,1.558,
2014-07,1.548,
