"",BBK01.OEAF32T,BBK01.OEAF32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:12,
2002-01,6.760,
2002-04,6.816,
2002-07,6.835,
2002-10,6.935,
2003-01,6.851,
2003-04,6.927,
2003-07,6.960,
2003-10,7.021,
2004-01,7.129,
2004-04,7.172,
2004-07,7.198,
2004-10,7.189,
2005-01,7.860,
2005-04,7.884,
2005-07,7.889,
2005-10,7.872,
2006-01,7.839,
2006-04,7.888,
2006-07,7.940,
2006-10,8.031,
2007-01,8.008,
2007-04,8.097,
2007-07,8.088,
2007-10,8.043,
2008-01,7.952,
2008-04,7.917,
2008-07,7.958,
2008-10,7.934,
2009-01,7.854,
2009-04,8.088,
2009-07,8.089,
2009-10,8.101,
2010-01,8.052,
2010-04,8.080,
2010-07,8.296,
2010-10,8.200,
2011-01,8.232,
2011-04,8.215,
2011-07,8.268,
2011-10,8.280,
2012-01,8.270,
2012-04,8.325,
2012-07,8.381,
2012-10,8.399,
2013-01,8.397,
2013-04,8.438,
2013-07,8.510,
2013-10,8.484,
2014-01,8.490,
2014-04,8.561,
2014-07,8.691,
