"",BBK01.OEBJ05L,BBK01.OEBJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:31,
2002-01,22.723,
2002-04,23.177,
2002-07,23.347,
2002-10,23.735,
2003-01,24.086,
2003-04,24.626,
2003-07,25.358,
2003-10,25.603,
2004-01,26.309,
2004-04,26.686,
2004-07,26.625,
2004-10,26.958,
2005-01,27.987,
2005-04,28.083,
2005-07,28.456,
2005-10,30.825,
2006-01,34.425,
2006-04,35.337,
2006-07,35.944,
2006-10,36.213,
2007-01,37.248,
2007-04,38.519,
2007-07,42.064,
2007-10,43.698,
2008-01,44.785,
2008-04,44.716,
2008-07,45.484,
2008-10,57.935,
2009-01,57.449,
2009-04,57.722,
2009-07,57.139,
2009-10,57.805,
2010-01,57.267,
2010-04,58.250,
2010-07,62.395,
2010-10,85.300,
2011-01,83.438,
2011-04,81.681,
2011-07,81.418,
2011-10,80.517,
2012-01,78.689,
2012-04,75.896,
2012-07,74.158,
2012-10,72.272,
2013-01,71.456,
2013-04,71.290,
2013-07,70.061,
2013-10,68.450,
2014-01,68.479,
2014-04,67.349,
2014-07,66.232,
