"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:37,
2009-09,1169,
2009-10,1125,
2009-11,1113,
2009-12,1156,
2010-01,1144,
2010-02,1142,
2010-03,1185,
2010-04,1189,
2010-05,1051,
2010-06,1013,
2010-07,1064,
2010-08,1044,
2010-09,1107,
2010-10,1192,
2010-11,1230,
2010-12,1386,
2011-01,1384,
2011-02,1387,
2011-03,1369,
2011-04,1365,
2011-05,1353,
2011-06,1486,
2011-07,1475,
2011-08,1284,
2011-09,1084,
2011-10,1128,
2011-11,1017,
2011-12,1027,
2012-01,1160,
2012-02,1217,
2012-03,1187,
2012-04,1159,
2012-05,1041,
2012-06,1026,
2012-07,1083,
2012-08,1087,
2012-09,1110,
2012-10,1158,
2012-11,1184,
2012-12,1242,
2013-01,1285,
2013-02,1303,
2013-03,1255,
2013-04,1238,
2013-05,1206,
2013-06,1107,
2013-07,1162,
2013-08,1231,
2013-09,1291,
2013-10,1322,
2013-11,1344,
2013-12,1298,
2014-01,1328,
2014-02,1356,
2014-03,1388,
2014-04,1415,
2014-05,1426,
2014-06,1496,
2014-07,1349,
2014-08,1300,
2014-09,1246,
2014-10,1201,
2014-11,1220,
