"",BBK01.OEAA24V,BBK01.OEAA24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:11,
2002-01,3.147,
2002-04,3.128,
2002-07,3.108,
2002-10,3.076,
2003-01,3.050,
2003-04,3.035,
2003-07,3.002,
2003-10,3.013,
2004-01,2.994,
2004-04,2.969,
2004-07,2.935,
2004-10,2.917,
2005-01,2.723,
2005-04,0.236,
2005-07,0.223,
2005-10,0.214,
2006-01,0.172,
2006-04,0.152,
2006-07,0.148,
2006-10,0.148,
2007-01,0.105,
2007-04,0.093,
2007-07,0.086,
2007-10,0.078,
2008-01,0.069,
2008-04,0.073,
2008-07,0.074,
2008-10,0.083,
2009-01,0.070,
2009-04,0.073,
2009-07,0.073,
2009-10,0.080,
2010-01,0.118,
2010-04,0.111,
2010-07,0.114,
2010-10,0.096,
2011-01,0.097,
2011-04,0.097,
2011-07,0.105,
2011-10,0.109,
2012-01,0.110,
2012-04,0.111,
2012-07,0.115,
2012-10,0.124,
2013-01,0.130,
2013-04,0.138,
2013-07,0.143,
2013-10,0.147,
2014-01,0.142,
2014-04,0.143,
2014-07,0.141,
