"",BBFN1.M.DE.N.1.L.PT.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:29,
1994-07,0.299,
1994-08,0.315,
1994-09,0.307,
1994-10,0.316,
1994-11,0.367,
1994-12,0.372,
1995-01,0.420,
1995-02,0.423,
1995-03,0.467,
1995-04,0.380,
1995-05,0.470,
1995-06,0.502,
1995-07,0.518,
1995-08,0.508,
1995-09,0.504,
1995-10,0.506,
1995-11,0.618,
1995-12,0.561,
1996-01,0.522,
1996-02,0.626,
1996-03,0.603,
1996-04,0.616,
1996-05,0.655,
1996-06,0.627,
1996-07,0.673,
1996-08,0.533,
1996-09,0.657,
1996-10,0.658,
1996-11,0.631,
1996-12,0.541,
1997-01,0.593,
1997-02,0.703,
1997-03,0.691,
1997-04,0.716,
1997-05,0.739,
1997-06,0.771,
1997-07,0.813,
1997-08,0.632,
1997-09,0.643,
1997-10,0.725,
1997-11,0.839,
1997-12,0.759,
1998-01,0.736,
1998-02,0.788,
1998-03,0.867,
1998-04,0.870,
1998-05,0.899,
1998-06,0.927,
1998-07,0.988,
1998-08,0.692,
1998-09,0.888,
1998-10,0.853,
1998-11,0.851,
1998-12,0.586,
1999-01,0.787,
1999-02,0.663,
1999-03,0.672,
1999-04,0.686,
1999-05,0.802,
1999-06,0.679,
1999-07,0.771,
1999-08,0.578,
1999-09,0.731,
1999-10,0.714,
1999-11,0.790,
1999-12,0.727,
2000-01,0.765,
2000-02,0.769,
2000-03,0.696,
2000-04,0.817,
2000-05,0.843,
2000-06,0.870,
2000-07,0.890,
2000-08,0.797,
2000-09,0.808,
2000-10,0.912,
2000-11,0.893,
2000-12,0.896,
2001-01,0.813,
2001-02,0.845,
2001-03,0.805,
2001-04,0.702,
2001-05,0.786,
2001-06,0.781,
2001-07,0.799,
2001-08,0.649,
2001-09,0.843,
2001-10,0.849,
2001-11,0.863,
2001-12,0.792,
2002-01,0.659,
2002-02,0.760,
2002-03,0.806,
2002-04,0.775,
2002-05,0.773,
2002-06,0.836,
2002-07,0.872,
2002-08,0.752,
2002-09,0.887,
2002-10,0.916,
2002-11,0.906,
2002-12,0.772,
2003-01,0.734,
2003-02,0.726,
2003-03,0.803,
2003-04,0.767,
2003-05,0.794,
2003-06,0.809,
2003-07,0.829,
2003-08,0.757,
2003-09,0.881,
2003-10,0.854,
2003-11,0.929,
2003-12,0.823,
2004-01,0.805,
2004-02,0.811,
2004-03,0.892,
2004-04,0.784,
2004-05,0.905,
2004-06,0.834,
2004-07,0.970,
2004-08,0.813,
2004-09,1.052,
2004-10,1.061,
2004-11,0.941,
2004-12,0.815,
2005-01,0.773,
2005-02,0.809,
2005-03,0.827,
2005-04,0.812,
2005-05,0.810,
2005-06,0.810,
2005-07,0.901,
2005-08,0.750,
2005-09,0.971,
2005-10,0.971,
2005-11,0.988,
2005-12,0.876,
2006-01,0.803,
2006-02,0.755,
2006-03,0.903,
2006-04,0.841,
2006-05,0.847,
2006-06,0.863,
2006-07,1.084,
2006-08,1.015,
2006-09,1.221,
2006-10,1.182,
2006-11,1.258,
2006-12,1.097,
2007-01,0.843,
2007-02,0.882,
2007-03,0.982,
2007-04,0.937,
2007-05,0.959,
2007-06,1.007,
2007-07,1.152,
2007-08,1.077,
2007-09,1.146,
2007-10,1.213,
2007-11,1.272,
2007-12,1.007,
2008-01,1.034,
2008-02,1.135,
2008-03,1.131,
2008-04,1.102,
2008-05,1.093,
2008-06,1.030,
2008-07,1.386,
2008-08,0.971,
2008-09,1.170,
2008-10,1.099,
2008-11,1.172,
2008-12,1.063,
2009-01,0.941,
2009-02,0.925,
2009-03,1.281,
2009-04,0.885,
2009-05,0.887,
2009-06,0.931,
2009-07,0.813,
2009-08,0.685,
2009-09,0.841,
2009-10,0.888,
2009-11,0.866,
2009-12,0.798,
2010-01,0.870,
2010-02,0.894,
2010-03,0.923,
2010-04,0.856,
2010-05,0.940,
2010-06,0.940,
2010-07,0.926,
2010-08,0.820,
2010-09,0.926,
2010-10,0.993,
2010-11,0.935,
2010-12,0.968,
2011-01,0.983,
2011-02,0.998,
2011-03,1.019,
2011-04,1.021,
2011-05,1.057,
2011-06,1.048,
2011-07,1.067,
2011-08,0.926,
2011-09,1.087,
2011-10,1.123,
2011-11,1.104,
2011-12,0.906,
2012-01,0.935,
2012-02,0.907,
2012-03,1.050,
2012-04,0.966,
2012-05,1.031,
2012-06,0.978,
2012-07,0.995,
2012-08,0.802,
2012-09,0.952,
2012-10,0.949,
2012-11,0.952,
2012-12,0.848,
2013-01,0.874,
2013-02,0.908,
2013-03,0.930,
2013-04,0.979,
2013-05,0.982,
2013-06,0.974,
2013-07,0.924,
2013-08,0.847,
2013-09,1.005,
2013-10,0.948,
2013-11,1.066,
2013-12,0.953,
2014-01,0.918,
2014-02,1.034,
2014-03,1.114,
2014-04,1.058,
2014-05,1.068,
2014-06,1.126,
2014-07,1.117,
2014-08,0.913,
2014-09,1.110,
2014-10,1.072,
2014-11,1.030,
2014-12,0.867,
