"",BBK01.OEAH86R,BBK01.OEAH86R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:02,
2002-01,0.010,
2002-04,0.012,
2002-07,0.010,
2002-10,0.016,
2003-01,0.010,
2003-04,0.013,
2003-07,0.015,
2003-10,0.010,
2004-01,0.009,
2004-04,0.009,
2004-07,0.010,
2004-10,0.011,
2005-01,0.009,
2005-04,0.010,
2005-07,0.014,
2005-10,0.016,
2006-01,0.010,
2006-04,0.010,
2006-07,0.012,
2006-10,0.011,
2007-01,0.012,
2007-04,0.013,
2007-07,0.012,
2007-10,0.011,
2008-01,0.013,
2008-04,0.013,
2008-07,0.012,
2008-10,0.016,
2009-01,0.015,
2009-04,0.021,
2009-07,0.021,
2009-10,0.019,
2010-01,0.022,
2010-04,0.022,
2010-07,0.027,
2010-10,0.023,
2011-01,0.026,
2011-04,0.024,
2011-07,0.025,
2011-10,0.025,
2012-01,0.027,
2012-04,0.031,
2012-07,0.035,
2012-10,0.036,
2013-01,0.036,
2013-04,0.033,
2013-07,0.037,
2013-10,0.042,
2014-01,0.048,
2014-04,0.046,
2014-07,0.051,
