"",BBEX3.M.ISK.EUR.CA.AB.A01,BBEX3.M.ISK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Iceland / EUR 1 = ISK ... (selling),
unit,ISK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:07,
1999-01,79.99,
1999-02,79.86,
1999-03,78.31,
1999-04,78.16,
1999-05,78.12,
1999-06,77.19,
1999-07,78.20,
1999-08,77.10,
1999-09,76.62,
1999-10,74.83,
1999-11,73.73,
1999-12,73.07,
2000-01,72.41,
2000-02,71.49,
2000-03,70.64,
2000-04,68.73,
2000-05,70.74,
2000-06,73.52,
2000-07,72.93,
2000-08,72.48,
2000-09,73.30,
2000-10,73.50,
2000-11,75.98,
2000-12,79.07,
2001-01,80.13,
2001-02,79.80,
2001-03,80.73,
2001-04,85.99,
2001-05,89.35,
2001-06,89.09,
2001-07,88.12,
2001-08,90.49,
2001-09,93.14,
2001-10,94.12,
2001-11,95.87,
2001-12,91.58,
2002-01,89.25,
2002-02,87.26,
2002-03,87.56,
2002-04,84.94,
2002-05,85.95,
2002-06,86.51,
2002-07,83.98,
2002-08,86.81,
2002-09,85.72,
2002-10,86.56,
2002-11,85.68,
2002-12,84.95,
2003-01,83.50,
2003-02,83.96,
2003-03,83.76,
2003-04,83.92,
2003-05,84.89,
2003-06,87.71,
2003-07,88.02,
2003-08,87.81,
2003-09,89.06,
2003-10,89.08,
2003-11,89.61,
2003-12,89.81,
2004-01,86.63,
2004-02,86.81,
2004-03,88.67,
2004-04,88.33,
2004-05,87.89,
2004-06,88.59,
2004-07,86.54,
2004-08,87.86,
2004-09,87.85,
2004-10,88.35,
2004-11,86.48,
2004-12,83.74,
2005-01,81.24,
2005-02,80.47,
2005-03,78.89,
2005-04,82.21,
2005-05,79.91,
2005-06,78.78,
2005-07,78.64,
2005-08,77.31,
2005-09,74.64,
2005-10,73.82,
2005-11,74.84,
2005-12,74.91,
2006-01,75.75,
2006-02,78.09,
2006-03,86.06,
2006-04,94.03,
2006-05,92.60,
2006-06,97.65,
2006-07,93.03,
2006-08,88.91,
2006-09,89.03,
2006-10,86.85,
2006-11,90.14,
2006-12,94.87,
2007-01,88.75,
2007-02,89.04,
2007-03,87.87,
2007-04,87.56,
2007-05,83.15,
2007-06,84.25,
2007-07,83.82,
2007-08,86.60,
2007-09,88.04,
2007-10,86.80,
2007-11,90.26,
2007-12,91.45,
2008-01,96.92,
2008-02,100.08,
2008-03,121.62,
2008-04,116.13,
2008-05,116.06,
2008-06,125.68,
2008-07,124.18,
2008-08,122.43,
2008-09,145.90,
2008-10,153.93,
2008-11,183.01,
2008-12,170.44,
2009-01,146.97,
2009-02,143.59,
2009-03,163.53,
2009-04,169.86,
2009-05,174.36,
2009-06,179.91,
2009-07,181.31,
2009-08,179.94,
2009-09,182.12,
2009-10,185.05,
2009-11,184.27,
2009-12,180.38,
2010-01,178.74,
2010-02,175.18,
2010-03,172.99,
2010-04,170.51,
2010-05,159.29,
2010-06,157.19,
2010-07,157.00,
2010-08,153.78,
2010-09,155.30,
2010-10,155.54,
2010-11,153.30,
2010-12,154.23,
2011-01,159.03,
2011-02,160.83,
2011-03,162.52,
2011-04,165.27,
2011-05,165.89,
2011-06,166.18,
2011-07,165.62,
2011-08,164.16,
2011-09,159.89,
2011-10,159.76,
2011-11,160.00,
2011-12,159.28,
2012-01,162.46,
2012-02,167.94,
2012-03,169.20,
2012-04,166.81,
2012-05,162.60,
2012-06,158.67,
2012-07,149.01,
2012-08,153.91,
2012-09,160.42,
2012-10,165.67,
2012-11,163.87,
2012-12,170.27,
2013-01,172.32,
2013-02,165.39,
2013-03,159.84,
2013-04,153.34,
2013-05,159.92,
2013-06,161.55,
2013-07,158.52,
2013-08,159.11,
2013-09,163.85,
2013-10,164.89,
2013-11,163.15,
2013-12,158.94,
2014-01,157.34,
2014-02,155.64,
2014-03,155.84,
2014-04,155.70,
2014-05,154.21,
2014-06,154.50,
2014-07,154.61,
2014-08,154.20,
2014-09,153.13,
2014-10,153.56,
2014-11,154.51,
2014-12,154.70,
2015-01,151.20,
"","General: Collapse of banking system and introduction of capital controls in October 2008, see Deutsche Bundesbank, Monthly Report, July 2010, pp 52-53. www.bundesbank.de/Redaktion/EN/Downloads/Publications/Monthly_Report/2010/2010_07_monthly_report.pdf?__blob=publicationFile",
"","Source: Sedlabanki Islands, Reykjavik.",
