"",BBFB1.Q.N.DE.IT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:52,
1991-01,423.484,
1991-04,424.240,
1991-07,444.625,
1991-10,437.293,
1992-01,629.492,
1992-04,631.028,
1992-07,665.012,
1992-10,803.884,
1993-01,346.746,
1993-04,373.701,
1993-07,417.441,
1993-10,437.335,
1994-01,446.021,
1994-04,444.586,
1994-07,445.604,
1994-10,442.493,
1995-01,486.772,
1995-04,469.494,
1995-07,486.108,
1995-10,488.122,
1996-01,485.126,
1996-04,478.093,
1996-07,499.925,
1996-10,491.127,
1997-01,487.791,
1997-04,501.719,
1997-07,505.681,
1997-10,488.221,
1998-01,594.844,
1998-04,607.341,
1998-07,660.252,
1998-10,704.036,
1999-01,1420.242,
1999-04,1531.562,
1999-07,1610.573,
1999-10,1573.213,
2000-01,448.364,
2000-04,483.212,
2000-07,511.325,
2000-10,481.610,
2001-01,1678.181,
2001-04,1850.518,
2001-07,1850.445,
2001-10,1781.867,
2002-01,800.849,
2002-04,811.989,
2002-07,796.998,
2002-10,852.614,
2003-01,1284.553,
2003-04,1382.728,
2003-07,1328.686,
2003-10,1235.532,
2004-01,956.082,
2004-04,942.541,
2004-07,842.116,
2004-10,868.586,
2005-01,610.002,
2005-04,750.003,
2005-07,626.885,
2005-10,659.703,
2006-01,897.336,
2006-04,952.706,
2006-07,832.448,
2006-10,843.325,
2007-01,782.131,
2007-04,886.462,
2007-07,767.532,
2007-10,798.187,
2008-01,707.529,
2008-04,812.197,
2008-07,725.418,
2008-10,756.450,
2009-01,420.467,
2009-04,478.353,
2009-07,481.252,
2009-10,522.865,
2010-01,582.060,
2010-04,712.046,
2010-07,755.074,
2010-10,765.184,
2011-01,683.710,
2011-04,750.330,
2011-07,797.238,
2011-10,756.147,
2012-01,837.416,
2012-04,825.803,
2012-07,793.048,
2012-10,821.330,
2013-01,580.484,
2013-04,623.500,
2013-07,595.387,
2013-10,846.104,
2014-01,656.729,Provisional value
2014-04,730.988,Provisional value
2014-07,647.006,Provisional value
