"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.Z06._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in foreign currency / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:53,
1991-01,-395.373,
1991-02,539.138,
1991-03,1221.677,
1991-04,-295.852,
1991-05,1181.134,
1991-06,730.523,
1991-07,-363.172,
1991-08,-295.369,
1991-09,-375.045,
1991-10,-143.769,
1991-11,402.833,
1991-12,-254.011,
1992-01,668.050,
1992-02,1623.596,
1992-03,1293.009,
1992-04,643.942,
1992-05,-235.471,
1992-06,1017.866,
1992-07,30.190,
1992-08,-1594.836,
1992-09,-1520.714,
1992-10,210.082,
1992-11,-1901.217,
1992-12,-49.780,
1993-01,-231.837,
1993-02,248.820,
1993-03,1591.890,
1993-04,1267.104,
1993-05,642.683,
1993-06,-546.651,
1993-07,-920.359,
1993-08,1318.550,
1993-09,-977.416,
1993-10,654.179,
1993-11,-866.904,
1993-12,747.601,
1994-01,535.620,
1994-02,2428.320,
1994-03,-341.581,
1994-04,1627.880,
1994-05,521.589,
1994-06,-630.709,
1994-07,820.290,
1994-08,821.271,
1994-09,1441.028,
1994-10,1537.517,
1994-11,1422.465,
1994-12,898.711,
1995-01,-229.099,
1995-02,424.814,
1995-03,2.274,
1995-04,1032.999,
1995-05,1150.281,
1995-06,1010.786,
1995-07,-491.288,
1995-08,1815.397,
1995-09,1753.489,
1995-10,770.876,
1995-11,713.112,
1995-12,835.361,
1996-01,1188.726,
1996-02,710.392,
1996-03,368.048,
1996-04,1735.838,
1996-05,-485.374,
1996-06,-3.124,
1996-07,1896.194,
1996-08,333.932,
1996-09,570.494,
1996-10,359.258,
1996-11,33.843,
1996-12,752.828,
1997-01,3983.779,
1997-02,3225.247,
1997-03,-1026.458,
1997-04,4045.198,
1997-05,3028.573,
1997-06,5428.916,
1997-07,8731.408,
1997-08,2646.605,
1997-09,2296.819,
1997-10,3150.726,
1997-11,1958.271,
1997-12,-1733.613,
1998-01,3022.614,
1998-02,4870.149,
1998-03,990.183,
