"",BBK01.OEAH06Q,BBK01.OEAH06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:59,
2002-01,0.118,
2002-04,0.127,
2002-07,0.138,
2002-10,0.156,
2003-01,0.144,
2003-04,0.127,
2003-07,0.150,
2003-10,0.152,
2004-01,0.156,
2004-04,0.140,
2004-07,0.139,
2004-10,0.193,
2005-01,0.222,
2005-04,0.244,
2005-07,0.309,
2005-10,0.431,
2006-01,0.512,
2006-04,0.469,
2006-07,0.496,
2006-10,0.475,
2007-01,0.478,
2007-04,0.648,
2007-07,0.689,
2007-10,0.760,
2008-01,0.816,
2008-04,0.939,
2008-07,1.080,
2008-10,1.070,
2009-01,1.047,
2009-04,1.035,
2009-07,1.110,
2009-10,1.115,
2010-01,1.287,
2010-04,1.161,
2010-07,1.025,
2010-10,0.915,
2011-01,1.019,
2011-04,1.186,
2011-07,1.226,
2011-10,1.419,
2012-01,1.217,
2012-04,1.559,
2012-07,1.503,
2012-10,1.350,
2013-01,1.496,
2013-04,1.850,
2013-07,1.610,
2013-10,1.773,
2014-01,1.746,
2014-04,1.768,
2014-07,1.917,
