"",BBK01.OEAC14V,BBK01.OEAC14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:08,
2002-01,9.237,
2002-04,9.228,
2002-07,9.143,
2002-10,9.023,
2003-01,8.882,
2003-04,8.724,
2003-07,8.628,
2003-10,8.463,
2004-01,8.262,
2004-04,8.110,
2004-07,8.000,
2004-10,7.840,
2005-01,7.722,
2005-04,7.641,
2005-07,7.810,
2005-10,7.723,
2006-01,7.624,
2006-04,7.611,
2006-07,7.534,
2006-10,7.438,
2007-01,7.358,
2007-04,7.266,
2007-07,7.139,
2007-10,7.164,
2008-01,7.019,
2008-04,7.011,
2008-07,6.982,
2008-10,7.009,
2009-01,6.873,
2009-04,7.894,
2009-07,7.864,
2009-10,7.865,
2010-01,7.677,
2010-04,7.722,
2010-07,7.139,
2010-10,7.028,
2011-01,7.077,
2011-04,7.057,
2011-07,7.124,
2011-10,7.055,
2012-01,7.017,
2012-04,8.075,
2012-07,8.026,
2012-10,8.035,
2013-01,8.069,
2013-04,8.092,
2013-07,8.136,
2013-10,8.130,
2014-01,8.150,
2014-04,8.191,
2014-07,8.193,
