"",BBK01.OEHL03O,BBK01.OEHL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:43,
2002-01,1.951,
2002-04,1.928,
2002-07,1.990,
2002-10,1.950,
2003-01,1.944,
2003-04,1.910,
2003-07,1.852,
2003-10,1.785,
2004-01,1.761,
2004-04,1.752,
2004-07,1.632,
2004-10,1.524,
2005-01,1.511,
2005-04,1.477,
2005-07,1.487,
2005-10,1.462,
2006-01,1.511,
2006-04,1.550,
2006-07,1.574,
2006-10,1.632,
2007-01,1.738,
2007-04,1.796,
2007-07,1.886,
2007-10,2.044,
2008-01,2.192,
2008-04,2.379,
2008-07,2.519,
2008-10,3.347,
2009-01,2.437,
2009-04,1.976,
2009-07,1.558,
2009-10,1.310,
2010-01,1.175,
2010-04,1.034,
2010-07,0.953,
2010-10,0.940,
2011-01,0.882,
2011-04,0.923,
2011-07,0.984,
2011-10,1.003,
2012-01,0.953,
2012-04,0.895,
2012-07,0.807,
2012-10,0.761,
2013-01,0.576,
2013-04,0.552,
2013-07,0.516,
2013-10,0.483,
2014-01,0.452,
2014-04,0.442,
2014-07,0.438,
