"",BBK01.CEF90N,BBK01.CEF90N_FLAGS
"",Non-MMF investment fund shares or units  debtor: Total                                  creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:18,
1999-01,4.4,
1999-04,3.2,
1999-07,3.8,
1999-10,7.9,
2000-01,13.3,
2000-04,15.7,
2000-07,17.7,
2000-10,19.9,
2001-01,17.9,
2001-04,17.2,
2001-07,16.5,
2001-10,18.2,
2002-01,19.7,
2002-04,19.4,
2002-07,20.4,
2002-10,19.2,
2003-01,18.0,
2003-04,18.0,
2003-07,16.9,
2003-10,18.0,
2004-01,22.5,
2004-04,21.2,
2004-07,20.7,
2004-10,24.2,
2005-01,25.0,
2005-04,26.1,
2005-07,30.9,
2005-10,34.8,
2006-01,136.1,
2006-04,142.9,
2006-07,141.3,
2006-10,126.1,
2007-01,134.9,
2007-04,142.6,
2007-07,138.1,
2007-10,137.5,
2008-01,107.4,
2008-04,107.3,
2008-07,106.8,
2008-10,96.9,
2009-01,97.4,
2009-04,103.1,
2009-07,138.5,
2009-10,130.3,
2010-01,131.2,
2010-04,123.0,
2010-07,126.7,
2010-10,134.2,
2011-01,136.8,
2011-04,126.0,
2011-07,119.6,
2011-10,122.0,
2012-01,129.5,
2012-04,131.0,
2012-07,137.0,
2012-10,132.0,
2013-01,131.8,
2013-04,126.5,
2013-07,132.0,
2013-10,137.5,
2014-01,138.6,
2014-04,142.4,
2014-07,141.6,
