"",BBK01.OEYL08G,BBK01.OEYL08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:38,
2002-01,4.155,
2002-04,4.089,
2002-07,4.115,
2002-10,4.317,
2003-01,4.497,
2003-04,4.605,
2003-07,4.624,
2003-10,4.713,
2004-01,4.760,
2004-04,4.768,
2004-07,4.792,
2004-10,4.796,
2005-01,4.835,
2005-04,4.914,
2005-07,7.107,
2005-10,7.256,
2006-01,7.315,
2006-04,7.218,
2006-07,7.107,
2006-10,6.903,
2007-01,6.766,
2007-04,6.395,
2007-07,6.115,
2007-10,6.019,
2008-01,5.867,
2008-04,5.543,
2008-07,5.274,
2008-10,5.185,
2009-01,5.470,
2009-04,5.531,
2009-07,5.630,
2009-10,5.665,
2010-01,5.612,
2010-04,5.609,
2010-07,5.679,
2010-10,5.785,
2011-01,5.761,
2011-04,5.703,
2011-07,5.672,
2011-10,5.603,
2012-01,5.484,
2012-04,5.338,
2012-07,5.302,
2012-10,5.335,
2013-01,5.418,
2013-04,5.388,
2013-07,5.362,
2013-10,5.527,
2014-01,5.685,
2014-04,5.760,
2014-07,5.811,
