"",BBK01.OECJ03P,BBK01.OECJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:26,
2002-01,0.123,
2002-04,0.160,
2002-07,0.130,
2002-10,0.140,
2003-01,0.146,
2003-04,0.173,
2003-07,0.232,
2003-10,0.461,
2004-01,0.433,
2004-04,0.448,
2004-07,0.231,
2004-10,0.408,
2005-01,0.300,
2005-04,0.192,
2005-07,0.181,
2005-10,0.245,
2006-01,0.183,
2006-04,0.140,
2006-07,0.150,
2006-10,0.149,
2007-01,0.157,
2007-04,0.166,
2007-07,0.243,
2007-10,0.378,
2008-01,0.280,
2008-04,0.228,
2008-07,0.213,
2008-10,0.207,
2009-01,0.172,
2009-04,0.169,
2009-07,0.141,
2009-10,0.142,
2010-01,0.173,
2010-04,0.228,
2010-07,0.184,
2010-10,0.243,
2011-01,0.143,
2011-04,0.165,
2011-07,0.195,
2011-10,0.180,
2012-01,0.179,
2012-04,0.170,
2012-07,0.282,
2012-10,0.274,
2013-01,0.214,
2013-04,0.113,
2013-07,0.108,
2013-10,0.100,
2014-01,0.086,
2014-04,0.199,
2014-07,0.158,
