"",BBK01.OEAC17R,BBK01.OEAC17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:28,
2002-01,0.357,
2002-04,0.291,
2002-07,0.331,
2002-10,0.373,
2003-01,0.373,
2003-04,0.321,
2003-07,0.302,
2003-10,0.296,
2004-01,0.278,
2004-04,0.292,
2004-07,0.299,
2004-10,0.289,
2005-01,0.273,
2005-04,0.305,
2005-07,0.248,
2005-10,0.238,
2006-01,0.217,
2006-04,0.225,
2006-07,0.207,
2006-10,0.187,
2007-01,0.180,
2007-04,0.182,
2007-07,0.196,
2007-10,0.197,
2008-01,0.176,
2008-04,0.126,
2008-07,0.121,
2008-10,0.120,
2009-01,0.119,
2009-04,0.117,
2009-07,0.123,
2009-10,0.122,
2010-01,0.127,
2010-04,0.127,
2010-07,0.119,
2010-10,0.105,
2011-01,0.133,
2011-04,0.144,
2011-07,0.137,
2011-10,0.132,
2012-01,0.150,
2012-04,0.144,
2012-07,0.143,
2012-10,0.152,
2013-01,0.149,
2013-04,0.148,
2013-07,0.138,
2013-10,0.127,
2014-01,0.137,
2014-04,0.138,
2014-07,0.129,
