"",BBK01.OEAA04Q,BBK01.OEAA04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:11,
2002-01,0.211,
2002-04,0.209,
2002-07,0.241,
2002-10,0.267,
2003-01,0.161,
2003-04,0.173,
2003-07,0.173,
2003-10,0.183,
2004-01,0.143,
2004-04,0.162,
2004-07,0.157,
2004-10,0.164,
2005-01,0.127,
2005-04,0.063,
2005-07,0.134,
2005-10,0.147,
2006-01,0.115,
2006-04,0.082,
2006-07,0.073,
2006-10,0.030,
2007-01,0.026,
2007-04,0.030,
2007-07,0.025,
2007-10,0.021,
2008-01,0.018,
2008-04,0.015,
2008-07,0.011,
2008-10,0.025,
2009-01,0.016,
2009-04,0.017,
2009-07,0.012,
2009-10,0.012,
2010-01,0.006,
2010-04,0.006,
2010-07,0.005,
2010-10,0.009,
2011-01,0.006,
2011-04,0.013,
2011-07,0.007,
2011-10,0.018,
2012-01,0.002,
2012-04,0.003,
2012-07,0.004,
2012-10,0.010,
2013-01,0.010,
2013-04,0.011,
2013-07,0.009,
2013-10,0.009,
2014-01,0.010,
2014-04,0.007,
2014-07,0.008,
