"",BBK01.OEAD38H,BBK01.OEAD38H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:57,
2002-01,4.521,
2002-04,4.538,
2002-07,4.473,
2002-10,4.421,
2003-01,4.309,
2003-04,4.262,
2003-07,4.216,
2003-10,4.231,
2004-01,4.144,
2004-04,4.130,
2004-07,4.041,
2004-10,4.038,
2005-01,3.998,
2005-04,3.926,
2005-07,3.773,
2005-10,3.702,
2006-01,3.710,
2006-04,3.672,
2006-07,3.666,
2006-10,3.678,
2007-01,3.351,
2007-04,3.630,
2007-07,3.628,
2007-10,3.604,
2008-01,3.559,
2008-04,3.537,
2008-07,3.583,
2008-10,3.412,
2009-01,3.526,
2009-04,3.394,
2009-07,3.333,
2009-10,3.234,
2010-01,3.256,
2010-04,3.387,
2010-07,3.405,
2010-10,3.432,
2011-01,3.355,
2011-04,3.324,
2011-07,3.277,
2011-10,3.232,
2012-01,3.152,
2012-04,3.144,
2012-07,3.107,
2012-10,3.180,
2013-01,3.159,
2013-04,3.217,
2013-07,3.203,
2013-10,3.105,
2014-01,3.055,
2014-04,3.067,
2014-07,3.085,
