"",BBK01.OEAH48V,BBK01.OEAH48V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:03,
2002-01,0.004,
2002-04,0.006,
2002-07,0.005,
2002-10,0.003,
2003-01,0.004,
2003-04,0.005,
2003-07,0.004,
2003-10,0.004,
2004-01,0.004,
2004-04,0.005,
2004-07,0.004,
2004-10,0.005,
2005-01,0.004,
2005-04,0.004,
2005-07,0.005,
2005-10,0.005,
2006-01,0.012,
2006-04,0.014,
2006-07,0.015,
2006-10,0.017,
2007-01,0.015,
2007-04,0.014,
2007-07,0.016,
2007-10,0.022,
2008-01,0.025,
2008-04,0.023,
2008-07,0.024,
2008-10,0.028,
2009-01,0.043,
2009-04,0.044,
2009-07,0.044,
2009-10,0.041,
2010-01,0.031,
2010-04,0.027,
2010-07,0.026,
2010-10,0.029,
2011-01,0.034,
2011-04,0.036,
2011-07,0.038,
2011-10,0.044,
2012-01,0.043,
2012-04,0.042,
2012-07,0.035,
2012-10,0.030,
2013-01,0.026,
2013-04,0.027,
2013-07,0.024,
2013-10,0.024,
2014-01,0.024,
2014-04,0.023,
2014-07,0.023,
