"",BBFN1.M.DE.N.1.L.US.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:46,
1994-12,14.080,
1995-01,13.703,
1995-02,14.026,
1995-03,13.902,
1995-04,15.880,
1995-05,15.650,
1995-06,16.415,
1995-07,15.870,
1995-08,15.526,
1995-09,15.502,
1995-10,16.804,
1995-11,16.982,
1995-12,16.581,
1996-01,16.768,
1996-02,17.505,
1996-03,17.570,
1996-04,19.750,
1996-05,19.802,
1996-06,18.674,
1996-07,17.523,
1996-08,17.497,
1996-09,17.776,
1996-10,18.812,
1996-11,18.652,
1996-12,21.894,
1997-01,23.647,
1997-02,24.592,
1997-03,25.814,
1997-04,27.305,
1997-05,25.727,
1997-06,26.391,
1997-07,24.794,
1997-08,21.890,
1997-09,24.048,
1997-10,18.159,
1997-11,21.127,
1997-12,22.432,
1998-01,22.426,
1998-02,24.561,
1998-03,29.641,
1998-04,28.235,
1998-05,30.203,
1998-06,28.830,
1998-07,25.593,
1998-08,22.123,
1998-09,26.758,
1998-10,20.030,
1998-11,24.229,
1998-12,27.652,
1999-01,30.381,
1999-02,32.654,
1999-03,36.474,
1999-04,41.234,
1999-05,43.887,
1999-06,45.036,
1999-07,37.294,
1999-08,35.347,
1999-09,34.245,
1999-10,34.990,
1999-11,37.055,
1999-12,38.806,
2000-01,38.428,
2000-02,40.005,
2000-03,50.388,
2000-04,53.237,
2000-05,60.661,
2000-06,53.775,
2000-07,47.597,
2000-08,45.136,
2000-09,42.498,
2000-10,35.562,
2000-11,44.349,
2000-12,46.388,
2001-01,45.456,
2001-02,47.367,
2001-03,54.094,
2001-04,56.215,
2001-05,64.813,
2001-06,62.295,
2001-07,57.288,
2001-08,53.710,
2001-09,59.959,
2001-10,60.474,
2001-11,54.950,
2001-12,57.277,
2002-01,55.931,
2002-02,52.611,
2002-03,47.000,
2002-04,48.790,
2002-05,49.598,
2002-06,48.756,
2002-07,46.147,
2002-08,46.180,
2002-09,46.402,
2002-10,47.144,
2002-11,51.532,
2002-12,50.987,
2003-01,49.779,
2003-02,49.912,
2003-03,51.137,
2003-04,50.633,
2003-05,49.654,
2003-06,49.817,
2003-07,50.046,
2003-08,48.547,
2003-09,54.060,
2003-10,50.650,
2003-11,50.563,
2003-12,43.210,
2004-01,44.011,
2004-02,43.962,
2004-03,46.854,
2004-04,45.075,
2004-05,44.680,
2004-06,46.161,
2004-07,45.294,
2004-08,44.929,
2004-09,45.638,
2004-10,44.870,
2004-11,45.822,
2004-12,47.928,
2005-01,45.781,
2005-02,45.384,
2005-03,47.706,
2005-04,47.162,
2005-05,48.323,
2005-06,47.243,
2005-07,46.868,
2005-08,45.527,
2005-09,50.079,
2005-10,49.779,
2005-11,49.111,
2005-12,46.366,
2006-01,45.345,
2006-02,45.208,
2006-03,46.072,
2006-04,45.552,
2006-05,46.929,
2006-06,47.866,
2006-07,46.683,
2006-08,46.623,
2006-09,39.931,
2006-10,38.937,
2006-11,39.927,
2006-12,41.492,
2007-01,43.581,
2007-02,43.217,
2007-03,41.539,
2007-04,40.659,
2007-05,39.976,
2007-06,41.861,
2007-07,41.715,
2007-08,42.651,
2007-09,41.986,
2007-10,42.203,
2007-11,43.524,
2007-12,43.582,
2008-01,41.267,
2008-02,41.505,
2008-03,40.680,
2008-04,44.961,
2008-05,42.440,
2008-06,42.831,
2008-07,40.658,
2008-08,41.002,
2008-09,43.267,
2008-10,44.839,
2008-11,44.274,
2008-12,45.337,
2009-01,45.989,
2009-02,45.974,
2009-03,43.643,
2009-04,43.136,
2009-05,42.430,
2009-06,42.242,
2009-07,41.743,
2009-08,42.323,
2009-09,42.637,
2009-10,42.224,
2009-11,42.727,
2009-12,43.858,
2010-01,43.478,
2010-02,42.919,
2010-03,44.868,
2010-04,42.542,
2010-05,43.827,
2010-06,42.289,
2010-07,42.074,
2010-08,43.094,
2010-09,42.329,
2010-10,41.594,
2010-11,45.291,
2010-12,46.546,
2011-01,47.119,
2011-02,46.753,
2011-03,45.558,
2011-04,45.635,
2011-05,46.156,
2011-06,46.977,
2011-07,46.863,
2011-08,46.849,
2011-09,48.903,
2011-10,49.114,
2011-11,50.669,
2011-12,52.358,
2012-01,52.566,
2012-02,51.635,
2012-03,51.593,
2012-04,51.818,
2012-05,54.388,
2012-06,54.611,
2012-07,54.913,
2012-08,54.534,
2012-09,55.837,
2012-10,54.644,
2012-11,55.320,
2012-12,54.663,
2013-01,53.479,
2013-02,55.632,
2013-03,55.831,
2013-04,55.720,
2013-05,56.337,
2013-06,57.829,
2013-07,52.133,
2013-08,52.508,
2013-09,56.043,
2013-10,54.395,
2013-11,54.255,
2013-12,55.002,
2014-01,53.552,
2014-02,55.689,
2014-03,55.933,
2014-04,56.680,
2014-05,55.571,
2014-06,56.526,
2014-07,56.080,
2014-08,57.425,
2014-09,58.072,
2014-10,57.147,
2014-11,56.476,
2014-12,53.757,
