"",BBK01.OEAH29T,BBK01.OEAH29T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:49,
2002-01,2.867,
2002-04,2.995,
2002-07,2.948,
2002-10,3.137,
2003-01,2.969,
2003-04,2.880,
2003-07,2.869,
2003-10,3.156,
2004-01,2.876,
2004-04,2.887,
2004-07,3.000,
2004-10,3.332,
2005-01,3.044,
2005-04,3.124,
2005-07,3.271,
2005-10,3.451,
2006-01,3.232,
2006-04,3.211,
2006-07,3.302,
2006-10,3.885,
2007-01,3.588,
2007-04,3.542,
2007-07,3.634,
2007-10,3.987,
2008-01,3.791,
2008-04,3.912,
2008-07,4.149,
2008-10,4.732,
2009-01,4.478,
2009-04,4.402,
2009-07,4.694,
2009-10,4.945,
2010-01,4.699,
2010-04,4.812,
2010-07,4.832,
2010-10,5.167,
2011-01,4.715,
2011-04,4.847,
2011-07,4.985,
2011-10,5.061,
2012-01,4.889,
2012-04,4.714,
2012-07,4.919,
2012-10,5.253,
2013-01,5.313,
2013-04,4.949,
2013-07,5.288,
2013-10,5.493,
2014-01,5.298,
2014-04,5.107,
2014-07,5.354,
