"",BBDA1.M.DE.N.IM.S.A.HU.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.HU.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Hungary / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:29,
1990-07,168581,
1990-08,164646,
1990-09,166114,
1990-10,176832,
1990-11,189173,
1990-12,190961,
1991-01,172665,
1991-02,156083,
1991-03,173183,
1991-04,168470,
1991-05,166682,
1991-06,178986,
1991-07,208328,
1991-08,172054,
1991-09,166621,
1991-10,216660,
1991-11,210820,
1991-12,196253,
1992-01,190554,
1992-02,183991,
1992-03,196677,
1992-04,198680,
1992-05,166651,
1992-06,179255,
1992-07,236209,
1992-08,161703,
1992-09,206318,
1992-10,222332,
1992-11,191933,
1992-12,229633,
1993-01,147299,
1993-02,191043,
1993-03,191235,
1993-04,177790,
1993-05,170196,
1993-06,188331,
1993-07,187902,
1993-08,176849,
1993-09,199628,
1993-10,214393,
1993-11,237228,
1993-12,232369,
1994-01,163683,
1994-02,212134,
1994-03,240309,
1994-04,177256,
1994-05,206856,
1994-06,229809,
1994-07,214192,
1994-08,229294,
1994-09,262230,
1994-10,255441,
1994-11,279128,
1994-12,295766,
1995-01,224499,
1995-02,267483,
1995-03,312838,
1995-04,236228,
1995-05,287284,
1995-06,291169,
1995-07,311050,
1995-08,275224,
1995-09,322343,
1995-10,316687,
1995-11,352480,
1995-12,335426,
1996-01,273438,
1996-02,310928,
1996-03,355313,
1996-04,332204,
1996-05,321206,
1996-06,334282,
1996-07,348459,
1996-08,286383,
1996-09,351759,
1996-10,379209,
1996-11,401635,
1996-12,367136,
1997-01,373160,
1997-02,377789,
1997-03,429677,
1997-04,448710,
1997-05,386386,
1997-06,476492,
1997-07,506426,
1997-08,402578,
1997-09,528466,
1997-10,563373,
1997-11,539761,
1997-12,518312,
1998-01,472509,
1998-02,529433,
1998-03,637822,
1998-04,594282,
1998-05,546989,
1998-06,637456,
1998-07,689149,
1998-08,524871,
1998-09,681421,
1998-10,706865,
1998-11,711286,
1998-12,726765,
1999-01,546948,
1999-02,654485,
1999-03,837816,
1999-04,713917,
1999-05,655949,
1999-06,752905,
1999-07,783726,
1999-08,710771,
1999-09,826665,
1999-10,868901,
1999-11,847690,
1999-12,762402,
2000-01,700386,
2000-02,905423,
2000-03,905688,
2000-04,713191,
2000-05,935020,
2000-06,874366,
2000-07,896367,
2000-08,791444,
2000-09,875195,
2000-10,971243,
2000-11,1052870,
2000-12,1012277,
2001-01,986263,
2001-02,964996,
2001-03,1020292,
2001-04,993774,
2001-05,1037768,
2001-06,995766,
2001-07,1016872,
2001-08,999652,
2001-09,1021120,
2001-10,1115361,
2001-11,1101042,
2001-12,776732,
2002-01,880807,
2002-02,972960,
2002-03,1090705,
2002-04,1046904,
2002-05,936004,
2002-06,1129741,
2002-07,1117592,
2002-08,896996,
2002-09,1033860,
2002-10,1123322,
2002-11,1039747,
2002-12,885703,
2003-01,965311,
2003-02,978685,
2003-03,1074592,
2003-04,988740,
2003-05,975493,
2003-06,981962,
2003-07,1057409,
2003-08,796206,
2003-09,1066019,
2003-10,1199195,
2003-11,1167351,
