"",BBK01.OEAH47M,BBK01.OEAH47M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:54,
2002-01,0.084,
2002-04,0.077,
2002-07,0.074,
2002-10,0.077,
2003-01,0.076,
2003-04,0.070,
2003-07,0.071,
2003-10,0.072,
2004-01,0.069,
2004-04,0.076,
2004-07,0.087,
2004-10,0.084,
2005-01,0.096,
2005-04,0.081,
2005-07,0.072,
2005-10,0.073,
2006-01,0.074,
2006-04,0.082,
2006-07,0.082,
2006-10,0.087,
2007-01,0.087,
2007-04,0.093,
2007-07,0.110,
2007-10,0.171,
2008-01,0.261,
2008-04,0.295,
2008-07,0.364,
2008-10,0.438,
2009-01,0.427,
2009-04,0.434,
2009-07,0.382,
2009-10,0.352,
2010-01,0.279,
2010-04,0.204,
2010-07,0.188,
2010-10,0.186,
2011-01,0.194,
2011-04,0.203,
2011-07,0.205,
2011-10,0.220,
2012-01,0.230,
2012-04,0.221,
2012-07,0.211,
2012-10,0.180,
2013-01,0.152,
2013-04,0.168,
2013-07,0.158,
2013-10,0.160,
2014-01,0.159,
2014-04,0.157,
2014-07,0.156,
