"",BBK01.OEAE26Q,BBK01.OEAE26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:28,
2002-01,0.270,
2002-04,0.436,
2002-07,0.430,
2002-10,0.385,
2003-01,0.259,
2003-04,0.304,
2003-07,0.293,
2003-10,0.326,
2004-01,0.307,
2004-04,0.528,
2004-07,0.515,
2004-10,0.527,
2005-01,0.573,
2005-04,0.570,
2005-07,0.553,
2005-10,0.684,
2006-01,0.678,
2006-04,0.686,
2006-07,0.720,
2006-10,0.740,
2007-01,0.798,
2007-04,0.760,
2007-07,0.778,
2007-10,0.714,
2008-01,0.467,
2008-04,0.517,
2008-07,0.551,
2008-10,0.553,
2009-01,0.507,
2009-04,0.481,
2009-07,0.569,
2009-10,1.640,
2010-01,0.488,
2010-04,0.445,
2010-07,0.292,
2010-10,0.230,
2011-01,0.218,
2011-04,0.145,
2011-07,0.086,
2011-10,0.096,
2012-01,0.080,
2012-04,0.074,
2012-07,0.064,
2012-10,0.056,
2013-01,0.045,
2013-04,0.033,
2013-07,0.033,
2013-10,0.031,
2014-01,0.029,
2014-04,0.032,
2014-07,0.033,
