"",BBFN1.M.DE.N.1.A.EG.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Egypt,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:32,
1975-12,0.005,
1976-01,0.005,
1976-02,0.006,
1976-03,0.006,
1976-04,0.006,
1976-05,0.002,
1976-06,0.002,
1976-07,0.002,
1976-08,0.003,
1976-09,0.002,
1976-10,0.003,
1976-11,0.003,
1976-12,0.003,
1977-01,0.002,
1977-02,0.003,
1977-03,0.003,
1977-04,0.002,
1977-05,0.002,
1977-06,0.002,
1977-07,0.002,
1977-08,0.002,
1977-09,0.002,
1977-10,0.003,
1977-11,0.003,
1977-12,0.003,
1978-01,0.003,
1978-02,0.002,
1978-03,0.002,
1978-04,0.003,
1978-05,0.002,
1978-06,0.002,
1978-07,0.002,
1978-08,0.003,
1978-09,0.003,
1978-10,0.003,
1978-11,0.003,
1978-12,0.005,
1979-01,0.005,
1979-02,0.004,
1979-03,0.005,
1979-04,0.004,
1979-05,0.004,
1979-06,0.005,
1979-07,0.005,
1979-08,0.005,
1979-09,0.005,
1979-10,0.005,
1979-11,0.005,
1979-12,0.005,
1980-01,0.005,
1980-02,0.005,
1980-03,0.005,
1980-04,0.005,
1980-05,0.005,
1980-06,0.005,
1980-07,0.003,
1980-08,0.004,
1980-09,0.004,
1980-10,0.005,
1980-11,0.005,
1980-12,0.006,
1981-01,0.005,
1981-02,0.006,
1981-03,0.006,
1981-04,0.007,
1981-05,0.007,
1981-06,0.007,
1981-07,0.010,
1981-08,0.010,
1981-09,0.009,
1981-10,0.011,
1981-11,0.011,
1981-12,0.010,
1982-01,0.009,
1982-02,0.009,
1982-03,0.010,
1982-04,0.010,
1982-05,0.011,
1982-06,0.011,
1982-07,0.012,
1982-08,0.012,
1982-09,0.014,
1982-10,0.014,
1982-11,0.014,
1982-12,0.015,
1983-01,0.014,
1983-02,0.012,
1983-03,0.013,
1983-04,0.011,
1983-05,0.011,
1983-06,0.012,
1983-07,0.013,
1983-08,0.012,
1983-09,0.012,
1983-10,0.016,
1983-11,0.017,
1983-12,0.017,
1984-01,0.019,
1984-02,0.021,
1984-03,0.020,
1984-04,0.018,
1984-05,0.018,
1984-06,0.017,
1984-07,0.016,
1984-08,0.015,
1984-09,0.015,
1984-10,0.020,
1984-11,0.023,
1984-12,0.027,
1985-01,0.029,
1985-02,0.020,
1985-03,0.022,
1985-04,0.021,
1985-05,0.022,
1985-06,0.026,
1985-07,0.028,
1985-08,0.025,
1985-09,0.025,
1985-10,0.025,
1985-11,0.021,
1985-12,0.020,
1986-01,0.018,
1986-02,0.015,
1986-03,0.015,
1986-04,0.015,
1986-05,0.015,
1986-06,0.016,
1986-07,0.015,
1986-08,0.017,
1986-09,0.016,
1986-10,0.017,
1986-11,0.016,
1986-12,0.015,
1987-01,0.015,
1987-02,0.015,
1987-03,0.015,
1987-04,0.014,
1987-05,0.014,
1987-06,0.014,
1987-07,0.014,
1987-08,0.014,
1987-09,0.016,
1987-10,0.015,
1987-11,0.015,
1987-12,0.014,
1988-01,0.011,
1988-02,0.011,
1988-03,0.011,
1988-04,0.012,
1988-05,0.012,
1988-06,0.015,
1988-07,0.012,
1988-08,0.012,
1988-09,0.011,
1988-10,0.011,
1988-11,0.014,
1988-12,0.012,
1989-01,0.013,
1989-02,0.011,
1989-03,.,No value available
1989-04,0.012,
1989-05,0.013,
1989-06,0.013,
1989-07,0.014,
1989-08,0.013,
1989-09,0.015,
1989-10,0.014,
1989-11,0.019,
1989-12,0.021,
1990-01,0.020,
1990-02,0.019,
1990-03,0.020,
1990-04,0.021,
1990-05,0.020,
1990-06,0.013,
1990-07,0.013,
1990-08,0.014,
1990-09,0.014,
1990-10,0.015,
1990-11,0.015,
1990-12,0.016,
1991-01,0.015,
1991-02,0.017,
1991-03,0.016,
1991-04,0.017,
1991-05,0.015,
1991-06,0.012,
1991-07,0.012,
1991-08,0.012,
1991-09,0.011,
1991-10,0.011,
1991-11,0.012,
1991-12,0.019,
1992-01,0.018,
1992-02,0.018,
1992-03,0.016,
1992-04,0.016,
1992-05,0.014,
1992-06,0.014,
1992-07,0.014,
1992-08,0.014,
1992-09,0.015,
1992-10,0.015,
1992-11,0.014,
1992-12,0.011,
1993-01,0.011,
1993-02,0.011,
1993-03,0.012,
1993-04,0.013,
1993-05,0.012,
1993-06,0.011,
1993-07,0.011,
1993-08,0.011,
1993-09,0.015,
1993-10,0.014,
1993-11,0.009,
1993-12,0.018,
1994-01,0.019,
1994-02,0.019,
1994-03,0.025,
1994-04,0.020,
1994-05,0.020,
1994-06,0.022,
1994-07,0.027,
1994-08,0.025,
1994-09,0.025,
1994-10,0.033,
1994-11,0.025,
1994-12,0.024,
1995-01,0.017,
1995-02,0.018,
1995-03,0.016,
1995-04,0.015,
1995-05,0.015,
1995-06,0.015,
1995-07,0.016,
1995-08,0.016,
1995-09,0.016,
1995-10,0.015,
1995-11,0.016,
1995-12,0.015,
1996-01,0.016,
1996-02,0.017,
1996-03,0.016,
1996-04,0.020,
1996-05,0.018,
1996-06,0.018,
1996-07,0.020,
1996-08,0.024,
1996-09,0.022,
1996-10,0.024,
1996-11,0.024,
1996-12,0.028,
1997-01,0.027,
1997-02,0.028,
1997-03,0.026,
1997-04,0.027,
1997-05,0.027,
1997-06,0.028,
1997-07,0.030,
1997-08,0.027,
1997-09,0.026,
1997-10,0.022,
1997-11,0.024,
1997-12,0.025,
1998-01,0.027,
1998-02,0.028,
1998-03,0.026,
1998-04,0.030,
1998-05,0.031,
1998-06,0.029,
1998-07,0.022,
1998-08,0.032,
1998-09,0.028,
1998-10,0.050,
1998-11,0.051,
1998-12,0.044,
1999-01,0.050,
1999-02,0.029,
1999-03,0.053,
1999-04,0.033,
1999-05,0.030,
1999-06,0.047,
1999-07,0.059,
1999-08,0.053,
1999-09,0.057,
1999-10,0.047,
1999-11,0.044,
1999-12,0.033,
2000-01,0.045,
2000-02,0.047,
2000-03,0.071,
2000-04,0.073,
2000-05,0.072,
2000-06,0.071,
2000-07,0.070,
2000-08,0.071,
2000-09,0.094,
2000-10,0.088,
2000-11,0.092,
2000-12,0.104,
2001-01,0.114,
2001-02,0.112,
2001-03,0.122,
2001-04,0.122,
2001-05,0.116,
2001-06,0.128,
2001-07,0.120,
2001-08,0.203,
2001-09,0.227,
2001-10,0.218,
2001-11,0.225,
2001-12,0.208,
2002-01,0.203,
2002-02,0.199,
2002-03,0.219,
2002-04,0.208,
2002-05,0.212,
2002-06,0.202,
2002-07,0.211,
2002-08,0.209,
2002-09,0.194,
2002-10,0.185,
2002-11,0.191,
2002-12,0.185,
2003-01,0.066,
2003-02,0.063,
2003-03,0.066,
2003-04,0.070,
2003-05,0.074,
2003-06,0.066,
2003-07,0.062,
2003-08,0.060,
2003-09,0.058,
2003-10,0.056,
2003-11,0.058,
2003-12,0.058,
2004-01,0.060,
2004-02,0.060,
2004-03,0.058,
2004-04,0.061,
2004-05,0.066,
2004-06,0.064,
2004-07,0.068,
2004-08,0.063,
2004-09,0.079,
2004-10,0.077,
2004-11,0.076,
2004-12,0.103,
2005-01,0.094,
2005-02,0.112,
2005-03,0.112,
2005-04,0.110,
2005-05,0.113,
2005-06,0.102,
2005-07,0.105,
2005-08,0.114,
2005-09,0.111,
2005-10,0.111,
2005-11,0.098,
2005-12,0.107,
2006-01,0.065,
2006-02,0.103,
2006-03,0.115,
2006-04,0.112,
2006-05,0.116,
2006-06,0.133,
2006-07,0.137,
2006-08,0.141,
2006-09,0.113,
2006-10,0.123,
2006-11,0.130,
2006-12,0.120,
2007-01,0.102,
2007-02,0.108,
2007-03,0.083,
2007-04,0.080,
2007-05,0.081,
2007-06,0.090,
2007-07,0.084,
2007-08,0.082,
2007-09,0.076,
2007-10,0.083,
2007-11,0.088,
2007-12,0.096,
2008-01,0.102,
2008-02,0.093,
2008-03,0.094,
2008-04,0.120,
2008-05,0.128,
2008-06,0.132,
2008-07,0.136,
2008-08,0.127,
2008-09,0.044,
2008-10,0.082,
2008-11,0.072,
2008-12,0.088,
2009-01,0.080,
2009-02,0.064,
2009-03,0.087,
2009-04,0.084,
2009-05,0.094,
2009-06,0.103,
2009-07,0.087,
2009-08,0.074,
2009-09,0.102,
2009-10,0.072,
2009-11,0.082,
2009-12,0.082,
2010-01,0.089,
2010-02,0.087,
2010-03,0.117,
2010-04,0.105,
2010-05,0.091,
2010-06,0.121,
2010-07,0.106,
2010-08,0.105,
2010-09,0.123,
2010-10,0.102,
2010-11,0.125,
2010-12,0.124,
2011-01,0.132,
2011-02,0.147,
2011-03,0.190,
2011-04,0.187,
2011-05,0.200,
2011-06,0.216,
2011-07,0.255,
2011-08,0.272,
2011-09,0.298,
2011-10,0.294,
2011-11,0.305,
2011-12,0.290,
2012-01,0.283,
2012-02,0.282,
2012-03,0.305,
2012-04,0.316,
2012-05,0.308,
2012-06,0.332,
2012-07,0.326,
2012-08,0.327,
2012-09,0.342,
2012-10,0.323,
2012-11,0.311,
2012-12,0.253,
2013-01,0.241,
2013-02,0.260,
2013-03,0.275,
2013-04,0.285,
2013-05,0.293,
2013-06,0.366,
2013-07,0.850,
2013-08,0.851,
2013-09,0.823,
2013-10,0.807,
2013-11,0.803,
2013-12,0.814,
2014-01,0.812,
2014-02,0.820,
2014-03,0.823,
2014-04,0.834,
2014-05,0.831,
2014-06,0.844,
2014-07,0.866,
2014-08,0.878,
2014-09,0.883,
2014-10,0.860,
2014-11,0.859,
2014-12,0.843,
