"",BBK01.OEYI04V,BBK01.OEYI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:59,
2002-01,1.201,
2002-04,1.254,
2002-07,1.507,
2002-10,1.795,
2003-01,1.050,
2003-04,1.050,
2003-07,0.537,
2003-10,1.025,
2004-01,1.342,
2004-04,1.076,
2004-07,1.141,
2004-10,1.743,
2005-01,1.276,
2005-04,1.645,
2005-07,1.070,
2005-10,0.825,
2006-01,1.034,
2006-04,0.580,
2006-07,0.855,
2006-10,0.748,
2007-01,0.619,
2007-04,0.735,
2007-07,0.606,
2007-10,0.991,
2008-01,0.649,
2008-04,0.286,
2008-07,0.341,
2008-10,0.389,
2009-01,0.314,
2009-04,0.213,
2009-07,0.128,
2009-10,0.442,
2010-01,0.252,
2010-04,0.407,
2010-07,0.323,
2010-10,0.373,
2011-01,0.200,
2011-04,0.118,
2011-07,0.177,
2011-10,0.181,
2012-01,0.186,
2012-04,0.173,
2012-07,0.558,
2012-10,0.642,
2013-01,0.714,
2013-04,0.156,
2013-07,0.513,
2013-10,0.312,
2014-01,0.271,
2014-04,0.453,
2014-07,0.413,
