"",BBK01.OEAA25J,BBK01.OEAA25J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:40,
2002-01,3.565,
2002-04,3.532,
2002-07,3.909,
2002-10,3.961,
2003-01,3.860,
2003-04,3.775,
2003-07,3.698,
2003-10,3.674,
2004-01,3.643,
2004-04,3.626,
2004-07,3.560,
2004-10,3.559,
2005-01,3.688,
2005-04,3.652,
2005-07,3.571,
2005-10,3.474,
2006-01,3.401,
2006-04,3.488,
2006-07,3.477,
2006-10,3.342,
2007-01,3.274,
2007-04,3.245,
2007-07,3.193,
2007-10,3.168,
2008-01,3.172,
2008-04,3.083,
2008-07,2.731,
2008-10,2.708,
2009-01,2.673,
2009-04,2.640,
2009-07,2.457,
2009-10,2.436,
2010-01,2.389,
2010-04,2.389,
2010-07,2.356,
2010-10,2.321,
2011-01,2.289,
2011-04,2.319,
2011-07,2.292,
2011-10,2.240,
2012-01,2.217,
2012-04,2.639,
2012-07,2.632,
2012-10,2.638,
2013-01,2.643,
2013-04,2.627,
2013-07,2.607,
2013-10,2.559,
2014-01,2.571,
2014-04,2.540,
2014-07,2.603,
