"",BBK01.TUB643,BBK01.TUB643_FLAGS
"",Securities of euro area residents in euro / securities held for monetary policy purposes / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:40:02,
2008-01,-,Nothing exists
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,-,Nothing exists
2008-05,-,Nothing exists
2008-06,-,Nothing exists
2008-07,-,Nothing exists
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-,Nothing exists
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,1239,
2009-08,3190,
2009-09,5288,
2009-10,6366,
2009-11,7580,
2009-12,7892,
2010-01,8829,
2010-02,10294,
2010-03,11760,
2010-04,12858,
2010-05,23100,
2010-06,28102,
2010-07,28396,
2010-08,28396,
2010-09,28641,
2010-10,28734,
2010-11,29477,
2010-12,30899,
2011-01,31577,
2011-02,31807,
2011-03,31931,
2011-04,31871,
2011-05,31701,
2011-06,31399,
2011-07,31314,
2011-08,43460,
2011-09,52893,
2011-10,55861,
2011-11,65174,
2011-12,66981,
2012-01,69188,
2012-02,69127,
2012-03,68733,
2012-04,68697,
2012-05,68600,
2012-06,68720,
2012-07,68824,
2012-08,68426,
2012-09,68759,
2012-10,67868,
2012-11,67373,
2012-12,67487,
2013-01,66237,
2013-02,65247,
2013-03,65042,
2013-04,63802,
2013-05,62917,
2013-06,61862,
2013-07,61066,
2013-08,59499,
2013-09,58586,
2013-10,57571,
2013-11,56981,
2013-12,55844,
2014-01,54236,
2014-02,53761,
2014-03,53579,
2014-04,51579,
2014-05,50684,
2014-06,49045,
2014-07,47396,
2014-08,45667,
2014-09,45521,
2014-10,45309,
2014-11,47665,
2014-12,50224,
