"",BBK01.OEYB21T,BBK01.OEYB21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:47,
2002-01,1.812,
2002-04,1.804,
2002-07,1.804,
2002-10,1.850,
2003-01,1.885,
2003-04,1.893,
2003-07,1.920,
2003-10,1.631,
2004-01,1.788,
2004-04,1.745,
2004-07,1.779,
2004-10,1.683,
2005-01,1.694,
2005-04,1.703,
2005-07,1.721,
2005-10,1.708,
2006-01,1.681,
2006-04,1.744,
2006-07,1.727,
2006-10,1.595,
2007-01,1.584,
2007-04,1.460,
2007-07,1.486,
2007-10,1.414,
2008-01,1.432,
2008-04,1.408,
2008-07,1.613,
2008-10,1.651,
2009-01,1.525,
2009-04,1.506,
2009-07,1.535,
2009-10,1.512,
2010-01,1.461,
2010-04,1.451,
2010-07,1.443,
2010-10,1.447,
2011-01,1.409,
2011-04,1.488,
2011-07,1.537,
2011-10,1.500,
2012-01,1.628,
2012-04,1.653,
2012-07,1.675,
2012-10,1.676,
2013-01,1.504,
2013-04,1.469,
2013-07,1.471,
2013-10,1.468,
2014-01,1.500,
2014-04,1.601,
2014-07,1.554,
