"",BBK01.QUA505,BBK01.QUA505_FLAGS
"",Foreign branches: Long-term loans and advances to non-residents / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:05,
2005-12,0.065,
2006-01,0.063,
2006-02,0.061,
2006-03,0.067,
2006-04,0.063,
2006-05,0.069,
2006-06,0.063,
2006-07,0.058,
2006-08,0.061,
2006-09,0.067,
2006-10,0.065,
2006-11,0.066,
2006-12,0.067,
2007-01,0.080,
2007-02,0.077,
2007-03,0.092,
2007-04,0.086,
2007-05,0.087,
2007-06,0.080,
2007-07,0.081,
2007-08,0.080,
2007-09,0.089,
2007-10,0.096,
2007-11,0.107,
2007-12,0.108,
2008-01,0.111,
2008-02,0.108,
2008-03,0.101,
2008-04,0.095,
2008-05,0.099,
2008-06,0.099,
2008-07,0.098,
2008-08,0.097,
2008-09,0.092,
2008-10,0.091,
2008-11,0.088,
2008-12,0.090,
2009-01,0.063,
2009-02,0.133,
2009-03,0.142,
2009-04,0.141,
2009-05,0.136,
2009-06,0.205,
2009-07,0.205,
2009-08,0.202,
2009-09,0.205,
2009-10,0.204,
2009-11,0.202,
2009-12,0.210,
2010-01,0.211,
2010-02,0.210,
2010-03,0.164,
2010-04,0.169,
2010-05,0.172,
2010-06,0.127,
2010-07,0.122,
2010-08,0.129,
2010-09,0.124,
2010-10,0.122,
2010-11,0.134,
2010-12,0.130,
2011-01,0.128,
2011-02,0.100,
2011-03,0.085,
2011-04,0.146,
2011-05,0.147,
2011-06,0.184,
2011-07,0.186,
2011-08,0.185,
2011-09,0.125,
2011-10,0.123,
2011-11,0.125,
2011-12,0.122,
2012-01,0.123,
2012-02,0.123,
2012-03,0.130,
2012-04,0.129,
2012-05,0.129,
2012-06,0.146,
2012-07,0.141,
2012-08,0.103,
2012-09,0.103,
2012-10,0.101,
2012-11,0.101,
2012-12,0.098,
2013-01,0.100,
2013-02,0.100,
2013-03,0.098,
2013-04,0.098,
2013-05,0.096,
2013-06,0.099,
2013-07,0.099,
2013-08,0.099,
2013-09,0.099,
2013-10,0.098,
2013-11,0.078,
2013-12,0.076,
2014-01,0.076,
2014-02,0.075,
2014-03,0.075,
2014-04,0.083,
2014-05,0.083,
2014-06,0.082,
2014-07,0.083,
2014-08,0.083,
2014-09,0.082,
2014-10,0.080,
2014-11,0.081,
