"",BBK01.OEBB06V,BBK01.OEBB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:11,
2002-01,3.028,
2002-04,3.119,
2002-07,3.067,
2002-10,2.939,
2003-01,2.659,
2003-04,2.416,
2003-07,2.704,
2003-10,2.553,
2004-01,2.422,
2004-04,2.320,
2004-07,2.339,
2004-10,2.145,
2005-01,2.111,
2005-04,2.064,
2005-07,1.902,
2005-10,1.744,
2006-01,1.769,
2006-04,1.835,
2006-07,1.738,
2006-10,1.750,
2007-01,1.585,
2007-04,1.602,
2007-07,1.563,
2007-10,1.564,
2008-01,1.584,
2008-04,1.653,
2008-07,1.777,
2008-10,1.777,
2009-01,1.661,
2009-04,1.644,
2009-07,1.642,
2009-10,1.574,
2010-01,1.525,
2010-04,1.500,
2010-07,1.475,
2010-10,1.353,
2011-01,1.296,
2011-04,1.349,
2011-07,1.462,
2011-10,1.373,
2012-01,1.304,
2012-04,1.278,
2012-07,1.340,
2012-10,1.374,
2013-01,1.420,
2013-04,1.241,
2013-07,1.427,
2013-10,1.333,
2014-01,1.407,
2014-04,1.680,
2014-07,1.571,
