"",BBK01.OEAH36R,BBK01.OEAH36R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:45,
2002-01,0.142,
2002-04,0.139,
2002-07,0.139,
2002-10,0.143,
2003-01,0.148,
2003-04,0.146,
2003-07,0.128,
2003-10,0.114,
2004-01,0.112,
2004-04,0.116,
2004-07,0.117,
2004-10,0.115,
2005-01,0.119,
2005-04,0.134,
2005-07,0.140,
2005-10,0.153,
2006-01,0.153,
2006-04,0.150,
2006-07,0.151,
2006-10,0.181,
2007-01,0.198,
2007-04,0.199,
2007-07,0.185,
2007-10,0.174,
2008-01,0.165,
2008-04,0.165,
2008-07,0.164,
2008-10,0.164,
2009-01,0.164,
2009-04,0.161,
2009-07,0.159,
2009-10,0.149,
2010-01,0.149,
2010-04,0.140,
2010-07,0.135,
2010-10,0.136,
2011-01,0.132,
2011-04,0.131,
2011-07,0.142,
2011-10,0.134,
2012-01,0.135,
2012-04,0.130,
2012-07,0.132,
2012-10,0.126,
2013-01,0.124,
2013-04,0.145,
2013-07,0.153,
2013-10,0.156,
2014-01,0.162,
2014-04,0.171,
2014-07,0.366,
