"",BBK01.QUB232,BBK01.QUB232_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:44:08,
2007-12,0.028,
2008-01,0.273,
2008-02,0.198,
2008-03,0.044,
2008-04,0.082,
2008-05,0.104,
2008-06,0.001,
2008-07,0.013,
2008-08,0.135,
2008-09,0.008,
2008-10,0.099,
2008-11,0.000,
2008-12,0.000,
2009-01,0.001,
2009-02,0.001,
2009-03,0.001,
2009-04,0.001,
2009-05,0.005,
2009-06,0.005,
2009-07,0.002,
2009-08,0.002,
2009-09,0.007,
2009-10,0.052,
2009-11,0.009,
2009-12,0.009,
2010-01,0.000,
2010-02,0.002,
2010-03,0.002,
2010-04,0.006,
2010-05,0.023,
2010-06,0.003,
2010-07,0.004,
2010-08,0.002,
2010-09,0.008,
2010-10,0.004,
2010-11,0.000,
2010-12,0.045,
2011-01,0.002,
2011-02,0.043,
2011-03,0.041,
2011-04,0.041,
2011-05,0.073,
2011-06,0.073,
2011-07,0.000,
2011-08,0.002,
2011-09,0.000,
2011-10,0.000,
2011-11,0.011,
2011-12,0.000,
2012-01,0.000,
2012-02,0.000,
2012-03,0.000,
2012-04,0.000,
2012-05,0.000,
2012-06,0.000,
2012-07,0.000,
2012-08,0.000,
2012-09,0.000,
2012-10,0.000,
2012-11,0.022,
2012-12,0.000,
2013-01,0.024,
2013-02,0.008,
2013-03,0.008,
2013-04,0.010,
2013-05,0.015,
2013-06,0.011,
2013-07,0.043,
2013-08,0.048,
2013-09,0.048,
2013-10,0.048,
2013-11,0.010,
2013-12,0.029,
2014-01,0.009,
2014-02,0.008,
2014-03,0.008,
2014-04,0.007,
2014-05,0.008,
2014-06,0.009,
2014-07,0.009,
2014-08,0.008,
2014-09,0.008,
2014-10,0.013,
2014-11,0.009,
