"",BBK01.PC3767,BBK01.PC3767_FLAGS
"","Lending to computer and related activities, research and development / Foreign banks",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:33:32,
1989-01,.,No value available
1989-04,.,No value available
1989-07,0.297,
1989-10,0.266,
1990-01,0.265,
1990-04,0.290,
1990-07,0.312,
1990-10,0.330,
1991-01,0.312,
1991-04,0.329,
1991-07,0.338,
1991-10,0.413,
1992-01,0.414,
1992-04,0.421,
1992-07,0.387,
1992-10,0.844,
1993-01,0.834,
1993-04,0.859,
1993-07,0.810,
1993-10,0.819,
1994-01,0.776,
1994-04,0.764,
1994-07,0.876,
1994-10,0.933,
1995-01,1.111,
1995-04,1.084,
1995-07,1.137,
1995-10,1.100,
1996-01,1.069,
1996-04,1.111,
1996-07,1.335,
1996-10,1.385,
1997-01,1.391,
1997-04,1.498,
1997-07,1.551,
1997-10,1.515,
1998-01,1.308,
1998-04,1.314,
1998-07,1.541,
1998-10,1.579,
1999-01,1.698,
1999-04,1.640,
1999-07,1.718,
1999-10,1.763,
2000-01,1.558,
2000-04,1.681,
2000-07,1.595,
2000-10,1.695,
2001-01,1.901,
2001-04,1.974,
2001-07,1.888,
2001-10,1.877,
2002-01,1.954,
2002-04,2.019,
2002-07,2.352,
2002-10,2.390,
2003-01,2.417,
2003-04,2.501,
2003-07,2.502,
2003-10,2.336,
2004-01,1.993,
2004-04,1.945,
2004-07,1.939,
2004-10,2.140,
2005-01,2.191,
2005-04,2.230,
2005-07,2.246,
2005-10,9.229,
2006-01,9.204,
2006-04,8.887,
2006-07,8.828,
2006-10,8.640,
2007-01,8.542,
2007-04,8.326,
2007-07,8.751,
2007-10,8.981,
2008-01,9.877,
2008-04,10.032,
2008-07,10.018,
2008-10,8.863,
2009-01,10.690,
2009-04,9.564,
2009-07,9.331,
2009-10,8.476,
2010-01,7.780,
2010-04,8.802,
2010-07,8.024,
2010-10,8.196,
2011-01,8.093,
2011-04,8.280,
2011-07,8.491,
2011-10,8.139,
2012-01,8.575,
2012-04,8.550,
2012-07,8.597,
2012-10,8.390,
2013-01,8.605,
2013-04,8.748,
2013-07,9.405,
2013-10,8.848,
2014-01,8.757,
2014-04,10.470,
2014-07,10.920,
2014-10,11.486,
