"",BBK01.OEXO06O,BBK01.OEXO06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:36,
2002-01,-24.667,
2002-04,-25.046,
2002-07,-25.289,
2002-10,-28.196,
2003-01,-29.703,
2003-04,-30.092,
2003-07,-30.763,
2003-10,-32.988,
2004-01,-34.105,
2004-04,-34.473,
2004-07,-34.623,
2004-10,-35.432,
2005-01,0.750,
2005-04,0.753,
2005-07,0.725,
2005-10,0.748,
2006-01,0.740,
2006-04,0.679,
2006-07,0.661,
2006-10,0.698,
2007-01,0.830,
2007-04,0.883,
2007-07,0.937,
2007-10,1.049,
2008-01,1.095,
2008-04,1.091,
2008-07,1.109,
2008-10,1.387,
2009-01,1.354,
2009-04,1.340,
2009-07,1.390,
2009-10,1.272,
2010-01,1.147,
2010-04,1.118,
2010-07,1.086,
2010-10,1.246,
2011-01,1.379,
2011-04,1.389,
2011-07,1.389,
2011-10,1.344,
2012-01,1.251,
2012-04,1.258,
2012-07,1.227,
2012-10,1.151,
2013-01,1.056,
2013-04,0.980,
2013-07,0.955,
2013-10,0.946,
2014-01,0.927,
2014-04,0.904,
2014-07,0.995,
