"",BBFN1.M.DE.N.1.L.R12.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:05,
1978-12,0.214,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.112,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.431,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.555,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.476,
1983-01,0.522,
1983-02,0.477,
1983-03,0.525,
1983-04,0.493,
1983-05,0.423,
1983-06,0.439,
1983-07,0.470,
1983-08,0.468,
1983-09,0.482,
1983-10,0.613,
1983-11,0.546,
1983-12,0.504,
1984-01,0.587,
1984-02,0.563,
1984-03,0.488,
1984-04,0.512,
1984-05,0.519,
1984-06,0.564,
1984-07,0.563,
1984-08,0.641,
1984-09,0.589,
1984-10,0.544,
1984-11,0.544,
1984-12,0.572,
1985-01,0.647,
1985-02,0.638,
1985-03,0.601,
1985-04,0.562,
1985-05,0.522,
1985-06,0.527,
1985-07,0.469,
1985-08,0.557,
1985-09,0.510,
1985-10,0.460,
1985-11,0.457,
1985-12,0.493,
1986-01,0.479,
1986-02,0.490,
1986-03,0.476,
1986-04,0.426,
1986-05,0.316,
1986-06,0.268,
1986-07,0.296,
1986-08,0.304,
1986-09,0.282,
1986-10,0.286,
1986-11,0.262,
1986-12,0.224,
1987-01,0.222,
1987-02,0.257,
1987-03,0.148,
1987-04,0.132,
1987-05,0.120,
1987-06,0.167,
1987-07,0.134,
1987-08,0.189,
1987-09,0.199,
1987-10,0.273,
1987-11,0.276,
1987-12,0.262,
1988-01,0.250,
1988-02,0.247,
1988-03,0.330,
1988-04,0.235,
1988-05,0.216,
1988-06,0.212,
1988-07,0.230,
1988-08,0.227,
1988-09,0.217,
1988-10,0.222,
1988-11,0.261,
1988-12,0.328,
1989-01,0.312,
1989-02,0.299,
1989-03,0.286,
1989-04,0.268,
1989-05,0.257,
1989-06,0.246,
1989-07,0.250,
1989-08,0.263,
1989-09,0.262,
1989-10,0.253,
1989-11,0.291,
1989-12,0.313,
1990-01,0.344,
1990-02,0.379,
1990-03,0.425,
1990-04,0.423,
1990-05,0.446,
1990-06,0.464,
1990-07,0.513,
1990-08,0.518,
1990-09,0.497,
1990-10,0.522,
1990-11,0.535,
1990-12,0.497,
1991-01,0.459,
1991-02,0.409,
1991-03,0.362,
1991-04,0.379,
1991-05,0.410,
1991-06,0.465,
1991-07,0.454,
1991-08,0.440,
1991-09,0.399,
1991-10,0.400,
1991-11,0.406,
1991-12,0.532,
1992-01,0.530,
1992-02,0.513,
1992-03,0.514,
1992-04,0.543,
1992-05,0.554,
1992-06,0.563,
1992-07,0.572,
1992-08,0.570,
1992-09,0.636,
1992-10,0.624,
1992-11,0.499,
1992-12,0.661,
1993-01,0.606,
1993-02,0.673,
1993-03,0.718,
1993-04,0.738,
1993-05,0.848,
1993-06,0.895,
1993-07,0.886,
1993-08,0.931,
1993-09,0.809,
1993-10,0.871,
1993-11,0.829,
1993-12,0.854,
1994-01,0.763,
1994-02,0.766,
1994-03,0.772,
1994-04,0.797,
1994-05,0.824,
1994-06,0.768,
1994-07,0.752,
1994-08,0.726,
1994-09,0.760,
1994-10,0.704,
1994-11,0.704,
1994-12,0.687,
1995-01,0.682,
1995-02,0.685,
1995-03,0.698,
1995-04,0.733,
1995-05,0.769,
1995-06,0.775,
1995-07,0.752,
1995-08,0.805,
1995-09,0.790,
1995-10,0.818,
1995-11,0.820,
1995-12,0.796,
1996-01,0.808,
1996-02,0.864,
1996-03,0.935,
1996-04,1.000,
1996-05,0.852,
1996-06,0.834,
1996-07,0.944,
1996-08,0.910,
1996-09,1.005,
1996-10,0.960,
1996-11,0.966,
1996-12,1.017,
1997-01,1.051,
1997-02,1.074,
1997-03,1.073,
1997-04,1.089,
1997-05,1.200,
1997-06,1.212,
1997-07,1.209,
1997-08,1.231,
1997-09,1.241,
1997-10,1.236,
1997-11,1.189,
1997-12,1.297,
1998-01,1.250,
1998-02,1.287,
1998-03,1.288,
1998-04,1.316,
1998-05,1.340,
1998-06,1.490,
1998-07,1.485,
1998-08,1.450,
1998-09,1.427,
1998-10,1.495,
1998-11,1.502,
1998-12,1.458,
1999-01,1.388,
1999-02,1.305,
1999-03,1.304,
1999-04,1.310,
1999-05,1.311,
1999-06,1.296,
1999-07,1.303,
1999-08,1.299,
1999-09,1.298,
1999-10,4.239,
1999-11,4.792,
1999-12,1.362,
2000-01,1.358,
2000-02,1.396,
2000-03,1.400,
2000-04,1.423,
2000-05,1.463,
2000-06,1.423,
2000-07,1.443,
2000-08,1.474,
2000-09,1.477,
2000-10,1.471,
2000-11,1.383,
2000-12,1.481,
2001-01,1.400,
2001-02,1.253,
2001-03,1.109,
2001-04,1.169,
2001-05,1.186,
2001-06,1.307,
2001-07,1.209,
2001-08,1.230,
2001-09,1.190,
2001-10,1.197,
2001-11,1.192,
2001-12,1.223,
2002-01,1.171,
2002-02,1.172,
2002-03,1.120,
2002-04,0.991,
2002-05,0.987,
2002-06,0.983,
2002-07,0.982,
2002-08,0.982,
2002-09,0.963,
2002-10,0.931,
2002-11,0.920,
2002-12,0.912,
2003-01,0.945,
2003-02,0.934,
2003-03,0.946,
2003-04,0.926,
2003-05,0.887,
2003-06,0.876,
2003-07,0.866,
2003-08,0.876,
2003-09,0.861,
2003-10,0.877,
2003-11,0.850,
2003-12,0.843,
2004-01,0.760,
2004-02,0.749,
2004-03,0.670,
2004-04,0.602,
2004-05,0.596,
2004-06,0.591,
2004-07,0.577,
2004-08,0.550,
2004-09,0.510,
2004-10,0.390,
2004-11,0.345,
2004-12,0.350,
2005-01,0.360,
2005-02,0.338,
2005-03,0.321,
2005-04,0.309,
2005-05,0.315,
2005-06,0.325,
2005-07,0.264,
2005-08,0.230,
2005-09,0.292,
2005-10,0.292,
2005-11,0.280,
2005-12,0.297,
2006-01,0.150,
2006-02,0.185,
2006-03,0.139,
2006-04,0.121,
2006-05,0.128,
2006-06,0.113,
2006-07,0.103,
2006-08,0.088,
2006-09,0.151,
2006-10,0.164,
2006-11,0.104,
2006-12,0.105,
2007-01,0.108,
2007-02,0.120,
2007-03,0.111,
2007-04,0.239,
2007-05,0.084,
2007-06,0.102,
2007-07,0.144,
2007-08,0.127,
2007-09,0.108,
2007-10,0.072,
2007-11,0.085,
2007-12,0.134,
2008-01,0.128,
2008-02,0.178,
2008-03,0.163,
2008-04,0.119,
2008-05,0.142,
2008-06,0.298,
2008-07,0.290,
2008-08,0.302,
2008-09,0.284,
2008-10,0.327,
2008-11,0.324,
2008-12,0.273,
2009-01,0.251,
2009-02,0.265,
2009-03,0.243,
2009-04,0.235,
2009-05,0.219,
2009-06,0.209,
2009-07,0.199,
2009-08,0.203,
2009-09,0.191,
2009-10,0.187,
2009-11,0.205,
2009-12,0.212,
2010-01,0.224,
2010-02,0.231,
2010-03,0.234,
2010-04,0.231,
2010-05,0.242,
2010-06,0.285,
2010-07,0.239,
2010-08,0.246,
2010-09,0.245,
2010-10,0.232,
2010-11,0.247,
2010-12,0.239,
2011-01,0.232,
2011-02,0.217,
2011-03,0.227,
2011-04,0.194,
2011-05,0.201,
2011-06,0.199,
2011-07,0.194,
2011-08,0.199,
2011-09,0.211,
2011-10,0.203,
2011-11,0.211,
2011-12,0.225,
2012-01,0.223,
2012-02,0.217,
2012-03,0.217,
2012-04,0.258,
2012-05,0.346,
2012-06,0.374,
2012-07,0.387,
2012-08,0.345,
2012-09,0.338,
2012-10,0.346,
2012-11,0.344,
2012-12,0.315,
2013-01,0.317,
2013-02,0.318,
2013-03,0.338,
2013-04,0.345,
2013-05,0.378,
2013-06,0.371,
2013-07,0.337,
2013-08,0.341,
2013-09,0.343,
2013-10,0.332,
2013-11,0.323,
2013-12,0.143,
2014-01,0.145,
2014-02,0.155,
2014-03,0.157,
2014-04,0.156,
2014-05,0.146,
2014-06,0.149,
2014-07,0.037,
2014-08,0.022,
2014-09,0.039,
2014-10,0.034,
2014-11,0.035,
2014-12,0.035,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
