"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:08,
2009-09,3784,
2009-10,3773,
2009-11,3815,
2009-12,4066,
2010-01,3435,
2010-02,3291,
2010-03,3418,
2010-04,3217,
2010-05,2904,
2010-06,2836,
2010-07,3115,
2010-08,3101,
2010-09,3143,
2010-10,3310,
2010-11,2810,
2010-12,3064,
2011-01,3426,
2011-02,3442,
2011-03,3178,
2011-04,3190,
2011-05,3081,
2011-06,3006,
2011-07,2759,
2011-08,2409,
2011-09,2330,
2011-10,2486,
2011-11,2235,
2011-12,2209,
2012-01,2309,
2012-02,2340,
2012-03,2137,
2012-04,2002,
2012-05,1638,
2012-06,2099,
2012-07,2023,
2012-08,2165,
2012-09,2387,
2012-10,2442,
2012-11,2535,
2012-12,2659,
2013-01,2754,
2013-02,2539,
2013-03,2494,
2013-04,2609,
2013-05,2526,
2013-06,2309,
2013-07,2575,
2013-08,2547,
2013-09,2844,
2013-10,3260,
2013-11,3399,
2013-12,3496,
2014-01,3382,
2014-02,3440,
2014-03,3567,
2014-04,3709,
2014-05,3971,
2014-06,4119,
2014-07,4095,
2014-08,4111,
2014-09,4077,
2014-10,3910,
2014-11,4049,
