"",BBK01.OELJ08O,BBK01.OELJ08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:06,
2002-01,0.083,
2002-04,0.083,
2002-07,0.086,
2002-10,0.086,
2003-01,0.084,
2003-04,0.088,
2003-07,0.088,
2003-10,0.086,
2004-01,0.102,
2004-04,0.104,
2004-07,0.106,
2004-10,0.110,
2005-01,0.110,
2005-04,0.096,
2005-07,0.095,
2005-10,0.091,
2006-01,0.087,
2006-04,0.086,
2006-07,0.084,
2006-10,0.084,
2007-01,0.086,
2007-04,0.091,
2007-07,0.087,
2007-10,0.081,
2008-01,0.078,
2008-04,0.077,
2008-07,0.076,
2008-10,0.071,
2009-01,0.068,
2009-04,0.080,
2009-07,0.091,
2009-10,0.095,
2010-01,0.097,
2010-04,0.107,
2010-07,0.118,
2010-10,0.106,
2011-01,0.107,
2011-04,0.109,
2011-07,0.108,
2011-10,0.105,
2012-01,0.113,
2012-04,0.123,
2012-07,0.135,
2012-10,0.123,
2013-01,0.128,
2013-04,0.128,
2013-07,0.145,
2013-10,0.138,
2014-01,0.135,
2014-04,0.137,
2014-07,0.136,
