"",BBK01.OEBJ04S,BBK01.OEBJ04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:27,
2002-01,0.461,
2002-04,0.464,
2002-07,0.449,
2002-10,0.410,
2003-01,0.392,
2003-04,0.375,
2003-07,0.358,
2003-10,0.319,
2004-01,0.299,
2004-04,0.242,
2004-07,0.214,
2004-10,0.258,
2005-01,0.230,
2005-04,0.212,
2005-07,0.209,
2005-10,0.254,
2006-01,0.289,
2006-04,0.281,
2006-07,0.327,
2006-10,0.357,
2007-01,0.452,
2007-04,0.463,
2007-07,0.517,
2007-10,0.560,
2008-01,0.577,
2008-04,0.613,
2008-07,0.623,
2008-10,0.565,
2009-01,0.328,
2009-04,0.251,
2009-07,0.195,
2009-10,0.189,
2010-01,0.171,
2010-04,0.162,
2010-07,0.171,
2010-10,0.173,
2011-01,0.238,
2011-04,0.194,
2011-07,0.209,
2011-10,0.495,
2012-01,0.526,
2012-04,0.601,
2012-07,0.614,
2012-10,0.637,
2013-01,0.304,
2013-04,0.620,
2013-07,0.609,
2013-10,0.565,
2014-01,0.581,
2014-04,0.563,
2014-07,0.541,
