"",BBK01.OEAH23N,BBK01.OEAH23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:20,
2002-01,2.635,
2002-04,2.563,
2002-07,2.520,
2002-10,2.589,
2003-01,2.467,
2003-04,2.404,
2003-07,2.308,
2003-10,2.523,
2004-01,2.560,
2004-04,2.396,
2004-07,2.381,
2004-10,2.342,
2005-01,2.425,
2005-04,2.337,
2005-07,2.374,
2005-10,2.413,
2006-01,2.555,
2006-04,2.825,
2006-07,3.381,
2006-10,4.038,
2007-01,5.375,
2007-04,6.450,
2007-07,7.582,
2007-10,8.863,
2008-01,9.842,
2008-04,10.666,
2008-07,11.397,
2008-10,12.520,
2009-01,11.807,
2009-04,9.640,
2009-07,7.376,
2009-10,5.427,
2010-01,4.176,
2010-04,3.610,
2010-07,3.693,
2010-10,3.806,
2011-01,4.367,
2011-04,4.617,
2011-07,4.877,
2011-10,5.322,
2012-01,5.380,
2012-04,5.528,
2012-07,5.318,
2012-10,5.159,
2013-01,4.588,
2013-04,4.160,
2013-07,3.940,
2013-10,3.776,
2014-01,3.570,
2014-04,3.658,
2014-07,3.246,
