"",BBK01.OEXB10I,BBK01.OEXB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:11,
2002-01,6.850,
2002-04,5.647,
2002-07,5.631,
2002-10,5.210,
2003-01,5.004,
2003-04,5.033,
2003-07,4.423,
2003-10,3.936,
2004-01,3.844,
2004-04,4.169,
2004-07,4.185,
2004-10,3.745,
2005-01,3.660,
2005-04,3.567,
2005-07,3.635,
2005-10,3.360,
2006-01,3.327,
2006-04,3.466,
2006-07,1.478,
2006-10,1.889,
2007-01,1.724,
2007-04,1.699,
2007-07,1.506,
2007-10,1.432,
2008-01,1.444,
2008-04,1.494,
2008-07,1.633,
2008-10,1.551,
2009-01,1.564,
2009-04,1.717,
2009-07,1.614,
2009-10,1.651,
2010-01,1.545,
2010-04,1.687,
2010-07,1.475,
2010-10,1.510,
2011-01,1.268,
2011-04,1.227,
2011-07,1.242,
2011-10,1.333,
2012-01,1.456,
2012-04,1.361,
2012-07,1.285,
2012-10,1.208,
2013-01,1.368,
2013-04,1.380,
2013-07,1.213,
2013-10,1.417,
2014-01,1.198,
2014-04,1.105,
2014-07,1.163,
