"",BBK01.OELB01M,BBK01.OELB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:05,
2002-01,27.251,
2002-04,27.628,
2002-07,27.850,
2002-10,27.883,
2003-01,27.746,
2003-04,28.067,
2003-07,28.366,
2003-10,28.383,
2004-01,28.349,
2004-04,28.539,
2004-07,28.681,
2004-10,28.800,
2005-01,28.800,
2005-04,29.035,
2005-07,29.360,
2005-10,29.466,
2006-01,29.685,
2006-04,30.156,
2006-07,30.484,
2006-10,30.473,
2007-01,30.564,
2007-04,30.842,
2007-07,31.146,
2007-10,31.298,
2008-01,31.359,
2008-04,31.716,
2008-07,32.211,
2008-10,32.255,
2009-01,32.532,
2009-04,32.981,
2009-07,33.317,
2009-10,33.590,
2010-01,33.929,
2010-04,34.623,
2010-07,35.214,
2010-10,35.597,
2011-01,36.047,
2011-04,36.795,
2011-07,37.389,
2011-10,37.817,
2012-01,38.276,
2012-04,40.828,
2012-07,41.419,
2012-10,41.663,
2013-01,41.875,
2013-04,42.346,
2013-07,42.710,
2013-10,43.004,
2014-01,43.409,
2014-04,44.103,
2014-07,44.731,
