"",BBK01.OEAH39N,BBK01.OEAH39N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:25,
2002-01,0.910,
2002-04,0.895,
2002-07,0.914,
2002-10,0.879,
2003-01,0.867,
2003-04,0.978,
2003-07,0.997,
2003-10,0.976,
2004-01,1.011,
2004-04,1.025,
2004-07,1.090,
2004-10,1.057,
2005-01,1.093,
2005-04,0.905,
2005-07,0.984,
2005-10,0.950,
2006-01,0.945,
2006-04,0.955,
2006-07,0.920,
2006-10,0.878,
2007-01,0.888,
2007-04,0.898,
2007-07,0.907,
2007-10,0.867,
2008-01,0.891,
2008-04,0.902,
2008-07,0.914,
2008-10,0.889,
2009-01,1.052,
2009-04,1.193,
2009-07,1.351,
2009-10,1.435,
2010-01,1.654,
2010-04,1.710,
2010-07,1.752,
2010-10,1.723,
2011-01,1.743,
2011-04,1.721,
2011-07,1.691,
2011-10,1.401,
2012-01,1.446,
2012-04,1.484,
2012-07,1.634,
2012-10,1.644,
2013-01,1.708,
2013-04,1.767,
2013-07,1.848,
2013-10,1.769,
2014-01,1.797,
2014-04,1.813,
2014-07,1.830,
