"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:50,
1991-01,-525.667,
1991-04,-273.864,
1991-07,711.912,
1991-10,1874.919,
1992-01,2663.439,
1992-04,225.244,
1992-07,3038.015,
1992-10,1681.453,
1993-01,2761.504,
1993-04,512.804,
1993-07,1258.467,
1993-10,4610.522,
1994-01,-139.542,
1994-04,2111.040,
1994-07,-184.850,
1994-10,-273.953,
1995-01,-1949.486,
1995-04,4747.653,
1995-07,-736.134,
1995-10,3577.281,
1996-01,-1009.455,
1996-04,-1814.771,
1996-07,208.527,
1996-10,1166.140,
1997-01,4043.128,
1997-04,4244.698,
1997-07,316.303,
1997-10,2098.118,
1998-01,267.072,
1998-04,4649.874,
1998-07,7149.432,
1998-10,6285.362,
1999-01,-532.446,
1999-04,3240.588,
1999-07,5894.147,
1999-10,3671.006,
2000-01,-32.542,
2000-04,4330.274,
2000-07,1466.647,
2000-10,2560.138,
2001-01,4234.560,
2001-04,4316.210,
2001-07,3436.046,
2001-10,1492.233,
2002-01,2399.603,
2002-04,1284.946,
2002-07,7618.687,
2002-10,4247.017,
2003-01,2496.813,
2003-04,5842.539,
2003-07,339.627,
2003-10,687.113,
2004-01,-495.027,
2004-04,180.050,
2004-07,2717.010,
2004-10,2352.447,
2005-01,-595.626,
2005-04,4086.626,
2005-07,2273.553,
2005-10,4382.974,
2006-01,1581.803,
2006-04,1064.260,
2006-07,552.049,
2006-10,3404.778,
2007-01,694.093,
2007-04,4377.360,
2007-07,-1846.676,
2007-10,6080.324,
2008-01,2807.625,
2008-04,2217.464,
2008-07,6577.265,
2008-10,2772.306,
2009-01,8562.897,
2009-04,2943.649,
2009-07,3532.964,
2009-10,1141.227,
2010-01,4994.109,
2010-04,2798.181,
2010-07,5463.103,
2010-10,3681.210,
2011-01,5547.726,
2011-04,4265.602,
2011-07,2816.816,
2011-10,1677.152,
2012-01,5535.327,
2012-04,-1875.076,
2012-07,2560.698,
2012-10,4717.638,
2013-01,1601.221,
2013-04,6101.016,
2013-07,3493.192,
2013-10,9617.347,
2014-01,-1598.147,Provisional value
2014-04,-1756.638,Provisional value
2014-07,-4474.551,Provisional value
2014-10,-7102.575,Provisional value
