"",BBSF2.M.1.T.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:28,
2009-09,1918,
2009-10,6946,
2009-11,1469,
2009-12,2604,
2010-01,2763,
2010-02,1882,
2010-03,1615,
2010-04,1217,
2010-05,957,
2010-06,1009,
2010-07,1438,
2010-08,758,
2010-09,566,
2010-10,2498,
2010-11,1039,
2010-12,1487,
2011-01,1187,
2011-02,931,
2011-03,900,
2011-04,598,
2011-05,1153,
2011-06,1099,
2011-07,1061,
2011-08,833,
2011-09,944,
2011-10,1077,
2011-11,1065,
2011-12,1734,
2012-01,1504,
2012-02,1302,
2012-03,1222,
2012-04,668,
2012-05,855,
2012-06,1630,
2012-07,1600,
2012-08,1150,
2012-09,1121,
2012-10,1260,
2012-11,1037,
2012-12,2313,
2013-01,1895,
2013-02,1189,
2013-03,1423,
2013-04,1200,
2013-05,813,
2013-06,1719,
2013-07,1516,
2013-08,778,
2013-09,555,
2013-10,679,
2013-11,1893,
2013-12,1916,
2014-01,1194,
2014-02,969,
2014-03,1381,
2014-04,584,
2014-05,841,
2014-06,1507,
2014-07,1281,
2014-08,865,
2014-09,1007,
2014-10,1011,
2014-11,1744,
