"",BBK01.OECI07J,BBK01.OECI07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:00,
2002-01,0.253,
2002-04,0.162,
2002-07,0.163,
2002-10,0.176,
2003-01,0.175,
2003-04,0.176,
2003-07,0.191,
2003-10,0.188,
2004-01,0.177,
2004-04,0.171,
2004-07,0.217,
2004-10,0.221,
2005-01,0.514,
2005-04,0.514,
2005-07,0.506,
2005-10,0.496,
2006-01,0.492,
2006-04,0.490,
2006-07,0.484,
2006-10,0.488,
2007-01,0.516,
2007-04,0.518,
2007-07,0.514,
2007-10,0.524,
2008-01,0.521,
2008-04,0.527,
2008-07,0.510,
2008-10,0.534,
2009-01,0.542,
2009-04,0.566,
2009-07,0.659,
2009-10,0.619,
2010-01,0.617,
2010-04,0.603,
2010-07,0.605,
2010-10,0.618,
2011-01,0.622,
2011-04,0.608,
2011-07,0.598,
2011-10,0.598,
2012-01,0.688,
2012-04,0.657,
2012-07,0.650,
2012-10,0.647,
2013-01,0.588,
2013-04,0.578,
2013-07,0.562,
2013-10,0.563,
2014-01,0.547,
2014-04,0.538,
2014-07,0.554,
