"",BBFN1.M.DE.N.1.L.IE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:40,
1982-09,0.046,
1982-10,0.045,
1982-11,0.044,
1982-12,0.044,
1983-01,0.040,
1983-02,0.043,
1983-03,0.046,
1983-04,0.045,
1983-05,0.046,
1983-06,0.049,
1983-07,0.055,
1983-08,0.055,
1983-09,0.048,
1983-10,0.048,
1983-11,0.042,
1983-12,0.041,
1984-01,0.037,
1984-02,0.033,
1984-03,0.037,
1984-04,0.035,
1984-05,0.035,
1984-06,0.038,
1984-07,0.038,
1984-08,0.041,
1984-09,0.043,
1984-10,0.042,
1984-11,0.042,
1984-12,0.036,
1985-01,0.034,
1985-02,0.036,
1985-03,0.034,
1985-04,0.029,
1985-05,0.030,
1985-06,0.039,
1985-07,0.042,
1985-08,0.038,
1985-09,0.040,
1985-10,0.041,
1985-11,0.046,
1985-12,0.028,
1986-01,0.027,
1986-02,0.027,
1986-03,0.026,
1986-04,0.026,
1986-05,0.026,
1986-06,0.030,
1986-07,0.030,
1986-08,0.029,
1986-09,0.029,
1986-10,0.030,
1986-11,0.031,
1986-12,0.028,
1987-01,0.030,
1987-02,0.034,
1987-03,0.034,
1987-04,0.028,
1987-05,0.026,
1987-06,0.033,
1987-07,0.032,
1987-08,0.031,
1987-09,0.040,
1987-10,0.037,
1987-11,0.024,
1987-12,0.026,
1988-01,0.026,
1988-02,0.024,
1988-03,0.024,
1988-04,0.094,
1988-05,0.123,
1988-06,0.118,
1988-07,0.125,
1988-08,0.131,
1988-09,0.129,
1988-10,0.112,
1988-11,0.102,
1988-12,0.095,
1989-01,0.049,
1989-02,0.048,
1989-03,0.052,
1989-04,0.081,
1989-05,0.078,
1989-06,0.073,
1989-07,0.078,
1989-08,0.082,
1989-09,0.084,
1989-10,0.089,
1989-11,0.095,
1989-12,0.096,
1990-01,0.095,
1990-02,0.095,
1990-03,0.101,
1990-04,0.102,
1990-05,0.104,
1990-06,0.111,
1990-07,0.123,
1990-08,0.185,
1990-09,0.131,
1990-10,0.134,
1990-11,0.135,
1990-12,0.146,
1991-01,0.201,
1991-02,0.201,
1991-03,0.202,
1991-04,0.227,
1991-05,0.234,
1991-06,0.250,
1991-07,0.263,
1991-08,0.266,
1991-09,0.294,
1991-10,0.298,
1991-11,0.339,
1991-12,0.422,
1992-01,0.614,
1992-02,0.645,
1992-03,0.654,
1992-04,0.660,
1992-05,0.650,
1992-06,0.780,
1992-07,0.697,
1992-08,0.918,
1992-09,0.877,
1992-10,0.895,
1992-11,0.923,
1992-12,0.955,
1993-01,1.170,
1993-02,1.030,
1993-03,1.054,
1993-04,1.103,
1993-05,1.107,
1993-06,1.125,
1993-07,1.128,
1993-08,1.123,
1993-09,1.121,
1993-10,1.100,
1993-11,1.131,
1993-12,1.237,
1994-01,1.211,
1994-02,1.439,
1994-03,1.491,
1994-04,1.479,
1994-05,1.499,
1994-06,1.457,
1994-07,1.553,
1994-08,1.598,
1994-09,1.617,
1994-10,1.664,
1994-11,1.675,
1994-12,1.717,
1995-01,1.612,
1995-02,1.617,
1995-03,1.706,
1995-04,1.820,
1995-05,1.772,
1995-06,1.772,
1995-07,1.767,
1995-08,1.760,
1995-09,1.790,
1995-10,1.812,
1995-11,1.792,
1995-12,2.111,
1996-01,2.248,
1996-02,2.523,
1996-03,2.892,
1996-04,2.435,
1996-05,2.425,
1996-06,2.562,
1996-07,2.638,
1996-08,2.731,
1996-09,2.758,
1996-10,2.791,
1996-11,2.881,
1996-12,3.006,
1997-01,2.796,
1997-02,2.795,
1997-03,2.901,
1997-04,3.035,
1997-05,3.211,
1997-06,3.221,
1997-07,3.386,
1997-08,3.519,
1997-09,3.642,
1997-10,3.887,
1997-11,3.992,
1997-12,4.128,
1998-01,4.206,
1998-02,4.361,
1998-03,4.114,
1998-04,4.401,
1998-05,4.491,
1998-06,4.775,
1998-07,4.851,
1998-08,5.027,
1998-09,4.726,
1998-10,5.029,
1998-11,5.229,
1998-12,5.163,
1999-01,5.451,
