"",BBK01.OEXB06M,BBK01.OEXB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:47,
2002-01,6.423,
2002-04,6.335,
2002-07,5.797,
2002-10,5.753,
2003-01,5.755,
2003-04,5.836,
2003-07,5.457,
2003-10,5.220,
2004-01,5.341,
2004-04,5.537,
2004-07,5.277,
2004-10,4.995,
2005-01,5.094,
2005-04,4.982,
2005-07,4.818,
2005-10,4.854,
2006-01,5.132,
2006-04,4.877,
2006-07,4.748,
2006-10,4.681,
2007-01,4.992,
2007-04,5.460,
2007-07,5.151,
2007-10,5.545,
2008-01,6.028,
2008-04,5.976,
2008-07,5.797,
2008-10,7.162,
2009-01,7.276,
2009-04,7.120,
2009-07,5.500,
2009-10,5.633,
2010-01,5.425,
2010-04,4.774,
2010-07,4.785,
2010-10,5.141,
2011-01,5.028,
2011-04,5.157,
2011-07,4.971,
2011-10,4.824,
2012-01,4.802,
2012-04,4.831,
2012-07,4.815,
2012-10,4.432,
2013-01,4.832,
2013-04,4.936,
2013-07,4.861,
2013-10,4.296,
2014-01,4.268,
2014-04,4.411,
2014-07,5.261,
