"",BBK01.OELB16T,BBK01.OELB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:35,
2002-01,0.449,
2002-04,0.454,
2002-07,0.455,
2002-10,0.461,
2003-01,0.458,
2003-04,0.463,
2003-07,0.465,
2003-10,0.465,
2004-01,0.462,
2004-04,0.464,
2004-07,0.461,
2004-10,0.473,
2005-01,0.466,
2005-04,0.469,
2005-07,0.469,
2005-10,0.471,
2006-01,0.466,
2006-04,0.473,
2006-07,0.464,
2006-10,0.467,
2007-01,0.466,
2007-04,0.472,
2007-07,0.473,
2007-10,0.474,
2008-01,0.472,
2008-04,0.478,
2008-07,0.479,
2008-10,0.481,
2009-01,0.483,
2009-04,0.484,
2009-07,0.493,
2009-10,0.500,
2010-01,0.508,
2010-04,0.519,
2010-07,0.519,
2010-10,0.513,
2011-01,0.512,
2011-04,0.523,
2011-07,0.518,
2011-10,0.552,
2012-01,0.551,
2012-04,0.740,
2012-07,0.753,
2012-10,0.766,
2013-01,0.766,
2013-04,0.770,
2013-07,0.780,
2013-10,0.795,
2014-01,0.805,
2014-04,0.804,
2014-07,0.813,
