"",BBK01.OEBI07O,BBK01.OEBI07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:55,
2002-01,-23.974,
2002-04,-24.541,
2002-07,-24.793,
2002-10,-27.644,
2003-01,-29.101,
2003-04,-29.484,
2003-07,-30.017,
2003-10,-32.204,
2004-01,-33.324,
2004-04,-33.682,
2004-07,-33.683,
2004-10,-34.440,
2005-01,3.140,
2005-04,3.124,
2005-07,3.024,
2005-10,3.006,
2006-01,2.941,
2006-04,2.821,
2006-07,2.728,
2006-10,2.729,
2007-01,2.909,
2007-04,2.942,
2007-07,2.943,
2007-10,3.071,
2008-01,3.126,
2008-04,3.187,
2008-07,3.143,
2008-10,3.490,
2009-01,3.504,
2009-04,3.637,
2009-07,3.832,
2009-10,3.780,
2010-01,3.673,
2010-04,3.596,
2010-07,3.591,
2010-10,3.810,
2011-01,3.925,
2011-04,3.853,
2011-07,3.845,
2011-10,3.798,
2012-01,3.937,
2012-04,3.875,
2012-07,3.818,
2012-10,3.771,
2013-01,3.593,
2013-04,3.475,
2013-07,3.355,
2013-10,3.304,
2014-01,3.232,
2014-04,3.162,
2014-07,3.331,
