"",BBEX3.A.DZD.USD.CA.AA.A04,BBEX3.A.DZD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Algeria / USD 1 = DZD ... (buying),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:48,
1975,3.9675,
1976,4.1556,
1977,4.1386,
1978,3.9477,
1979,3.8481,
1980,3.8333,
1981,4.3076,
1982,4.5937,
1983,4.7871,
1984,4.9798,
1985,5.0073,
1986,4.6917,
1987,4.8450,
1988,5.9394,
1989,7.6263,
1990,9.0190,
1991,18.6853,comment
1992,21.8563,
1993,23.3578,
1994,35.4871,comment
1995,47.8321,
1996,54.8121,
1997,57.7112,
1998,58.8151,
1999,66.7993,
2000,75.3345,
2001,77.3482,
2002,79.7071,
2003,77.2574,
2004,72.0695,
2005,73.4044,
2006,72.6366,
2007,69.2868,
2008,64.6758,
2009,72.6633,
2010,74.3902,
2011,72.8318,
2012,77.6012,
2013,79.2963,
2014,80.6903,
"","Source: Banque d'Algerie (formerly: Banque Centrale d'Algerie), Algiers.",
"",Methodology: Calculated on the basis of mid-month and month-end rates.,
"","Comment on 1991: On 30 September 1991, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 27 September 1991: USD 1 = DZD 17.6285/17.643530 September 1991: USD 1 = DZD 21.4314/21.4464. Calculated devaluation: 17.7%.",
"","Comment on 1994: On 10 April 1994, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 8 April 1994: USD 1 = DZD 25.6762 / 25.691211 April 1994: USD 1 = DZD 35.9110 / 35.9260. Calculated devaluation: 28.5%.",
