"",BBK01.OEAH45S,BBK01.OEAH45S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:23,
2002-01,0.249,
2002-04,0.238,
2002-07,0.218,
2002-10,0.192,
2003-01,0.180,
2003-04,0.158,
2003-07,0.158,
2003-10,0.153,
2004-01,0.153,
2004-04,0.144,
2004-07,0.140,
2004-10,0.148,
2005-01,0.143,
2005-04,0.144,
2005-07,0.145,
2005-10,0.141,
2006-01,0.159,
2006-04,0.149,
2006-07,0.145,
2006-10,0.156,
2007-01,0.155,
2007-04,0.163,
2007-07,0.177,
2007-10,0.194,
2008-01,0.216,
2008-04,0.229,
2008-07,0.299,
2008-10,0.306,
2009-01,0.224,
2009-04,0.187,
2009-07,0.149,
2009-10,0.134,
2010-01,0.128,
2010-04,0.120,
2010-07,0.103,
2010-10,0.097,
2011-01,0.106,
2011-04,0.100,
2011-07,0.107,
2011-10,0.111,
2012-01,0.117,
2012-04,0.114,
2012-07,0.108,
2012-10,0.100,
2013-01,0.096,
2013-04,0.095,
2013-07,0.095,
2013-10,0.093,
2014-01,0.092,
2014-04,0.088,
2014-07,0.089,
