"",BBK01.OEHB18S,BBK01.OEHB18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:16,
2002-01,0.232,
2002-04,0.243,
2002-07,0.258,
2002-10,0.242,
2003-01,0.246,
2003-04,0.258,
2003-07,0.267,
2003-10,0.255,
2004-01,0.233,
2004-04,0.245,
2004-07,0.255,
2004-10,0.256,
2005-01,0.238,
2005-04,0.254,
2005-07,0.264,
2005-10,0.251,
2006-01,0.238,
2006-04,0.240,
2006-07,0.237,
2006-10,0.230,
2007-01,0.214,
2007-04,0.212,
2007-07,0.211,
2007-10,0.208,
2008-01,0.194,
2008-04,0.197,
2008-07,0.200,
2008-10,0.187,
2009-01,0.180,
2009-04,0.184,
2009-07,0.191,
2009-10,0.191,
2010-01,0.184,
2010-04,0.186,
2010-07,0.260,
2010-10,0.175,
2011-01,0.175,
2011-04,0.177,
2011-07,0.181,
2011-10,0.176,
2012-01,0.170,
2012-04,0.166,
2012-07,0.121,
2012-10,0.117,
2013-01,0.112,
2013-04,0.111,
2013-07,0.117,
2013-10,0.111,
2014-01,0.107,
2014-04,0.104,
2014-07,0.108,
