"",BBSF2.M.1.P.00000.DAC01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Sales receipts,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:38,
2009-01,185,
2009-02,103,
2009-03,110,
2009-04,132,
2009-05,164,
2009-06,199,
2009-07,258,
2009-08,129,
2009-09,240,
2009-10,277,
2009-11,250,
2009-12,348,
2010-01,808,
2010-02,205,
2010-03,258,
2010-04,282,
2010-05,266,
2010-06,242,
2010-07,331,
2010-08,593,
2010-09,209,
2010-10,206,
2010-11,317,
2010-12,269,
2011-01,275,
2011-02,223,
2011-03,253,
2011-04,190,
2011-05,198,
2011-06,184,
2011-07,121,
2011-08,151,
2011-09,97,
2011-10,208,
2011-11,95,
2011-12,102,
2012-01,113,
2012-02,153,
2012-03,175,
2012-04,150,
2012-05,160,
2012-06,151,
2012-07,211,
2012-08,162,
2012-09,171,
2012-10,150,
2012-11,210,
2012-12,222,
2013-01,218,
2013-02,367,
2013-03,219,
2013-04,255,
2013-05,534,
2013-06,243,
2013-07,263,
2013-08,199,
2013-09,196,
2013-10,391,
2013-11,262,
2013-12,273,
2014-01,752,
2014-02,270,
2014-03,285,
2014-04,244,
2014-05,241,
2014-06,248,
2014-07,267,
2014-08,313,
2014-09,288,
2014-10,378,
2014-11,325,
